t,x,y,z,mf
22.2930000000,71.1489562988,19.8961963654,-5.0182695389,74.05
22.3030000000,69.2102966309,20.0812759399,-4.6996488571,72.22
22.3130000000,70.7612228394,20.0812759399,-4.6996488571,73.71
22.3220000000,70.5673599243,20.5439796448,-4.9386143684,73.66
22.3330000000,70.3734970093,19.8961963654,-5.4961996078,73.34
22.3420000000,71.1489562988,19.8961963654,-5.4961996078,74.08
22.3520000000,71.1489562988,19.7111148834,-5.1775794029,74.01
22.3620000000,71.9244232178,20.0812759399,-5.0182695389,74.84
22.3720000000,70.1796264648,20.3588981628,-5.5758547783,73.29
22.3820000000,71.3428268433,19.9887371063,-4.4606838226,74.22
22.3910000000,71.1489562988,19.7111148834,-4.5403389931,73.97
22.4010000000,71.3428268433,19.2484130859,-5.2572345734,74.08
22.4110000000,70.1796264648,20.1738166809,-5.0979242325,73.20
22.4210000000,70.5673599243,20.3588981628,-3.8234431744,73.54
22.4310000000,70.5673599243,19.6185741425,-4.9386143684,73.41
22.4410000000,71.3428268433,20.3588981628,-4.7793040276,74.34
22.4510000000,70.9550933838,19.6185741425,-4.4606838226,73.75
22.4600000000,71.7305603027,19.4334945679,-4.7793040276,74.47
22.4700000000,71.3428268433,19.6185741425,-4.9386143684,74.16
22.4800000000,71.9244232178,20.2663574219,-5.1775794029,74.90
22.4900000000,71.5366897583,19.8961963654,-5.1775794029,74.43
22.5000000000,72.1182937622,20.5439796448,-5.2572345734,75.17
22.5100000000,70.1796264648,20.1738166809,-5.0979242325,73.20
22.5200000000,70.7612228394,20.4514389038,-4.8589591980,73.82
22.5300000000,72.1182937622,20.3588981628,-5.2572345734,75.12
22.5390000000,72.5060272217,19.8036556244,-4.9386143684,75.32
22.5490000000,70.9550933838,19.9887371063,-4.7793040276,73.87
22.5590000000,71.5366897583,19.3409538269,-5.0182695389,74.27
22.5690000000,71.5366897583,19.3409538269,-4.3810286522,74.23
22.5790000000,69.7918930054,19.4334945679,-4.4606838226,72.58
22.5880000000,71.1489562988,19.8961963654,-4.8589591980,74.04
22.5990000000,69.5980300903,19.7111148834,-5.1775794029,72.52
22.6080000000,71.9244232178,20.4514389038,-4.8589591980,74.93
22.6180000000,70.5673599243,19.9887371063,-4.4606838226,73.48
22.6280000000,70.1796264648,19.9887371063,-5.2572345734,73.16
22.6380000000,70.9550933838,19.9887371063,-5.2572345734,73.90
22.6480000000,70.3734970093,19.7111148834,-5.3368897438,73.28
22.6580000000,70.3734970093,19.8961963654,-4.6996488571,73.28
22.6670000000,70.7612228394,19.5260334015,-5.4961996078,73.61
22.6780000000,71.5366897583,20.6365203857,-4.5403389931,74.59
22.6870000000,70.1796264648,20.1738166809,-5.2572345734,73.21
22.6970000000,71.9244232178,20.2663574219,-4.6996488571,74.87
22.7070000000,70.3734970093,19.7111148834,-4.8589591980,73.24
22.7170000000,69.7918930054,19.2484130859,-5.0979242325,72.58
22.7270000000,71.1489562988,20.2663574219,-5.1775794029,74.16
22.7360000000,69.4041595459,19.6185741425,-4.6199941635,72.27
22.7460000000,71.9244232178,19.8961963654,-4.8589591980,74.78
22.7560000000,69.7918930054,19.9887371063,-4.6199941635,72.74
22.7660000000,70.3734970093,20.0812759399,-4.6996488571,73.33
22.7760000000,70.1796264648,19.4334945679,-4.9386143684,72.99
22.7860000000,71.1489562988,19.5260334015,-5.0182695389,73.95
22.7950000000,70.9550933838,19.6185741425,-4.1420636177,73.73
22.8060000000,72.1182937622,19.9887371063,-5.4165449142,75.03
22.8150000000,71.1489562988,20.0812759399,-5.0182695389,74.10
22.8250000000,70.5673599243,19.6185741425,-5.5758547783,73.46
22.8350000000,70.7612228394,19.1558723450,-5.1775794029,73.49
22.8450000000,69.7918930054,19.8036556244,-4.9386143684,72.72
22.8550000000,69.7918930054,20.5439796448,-4.6199941635,72.90
22.8650000000,70.7612228394,20.2663574219,-5.0182695389,73.78
22.8740000000,70.5673599243,19.6185741425,-4.7793040276,73.40
22.8840000000,71.5366897583,19.8961963654,-4.8589591980,74.41
22.8940000000,70.5673599243,19.4334945679,-5.0979242325,73.37
22.9040000000,69.4041595459,20.1738166809,-4.7793040276,72.43
22.9140000000,70.7612228394,20.0812759399,-5.4961996078,73.76
22.9240000000,71.9244232178,20.2663574219,-4.8589591980,74.88
22.9340000000,70.7612228394,19.8961963654,-5.3368897438,73.70
22.9430000000,69.7918930054,20.7290592194,-4.7793040276,72.96
22.9530000000,71.7305603027,19.8036556244,-5.4165449142,74.61
22.9630000000,69.2102966309,19.8961963654,-4.6996488571,72.17
22.9730000000,71.7305603027,20.9141407013,-4.4606838226,74.85
22.9830000000,71.5366897583,20.0812759399,-4.2217187881,74.42
22.9930000000,70.5673599243,19.6185741425,-5.2572345734,73.43
23.0030000000,71.3428268433,20.3588981628,-4.9386143684,74.36
23.0120000000,71.3428268433,19.2484130859,-5.2572345734,74.08
23.0220000000,70.9550933838,19.8036556244,-4.9386143684,73.83
23.0320000000,71.3428268433,20.5439796448,-5.0979242325,74.42
23.0420000000,71.7305603027,19.2484130859,-4.6199941635,74.41
23.0520000000,71.3428268433,19.9887371063,-5.4165449142,74.29
23.0620000000,71.3428268433,19.4334945679,-5.4165449142,74.14
23.0710000000,70.7612228394,20.4514389038,-5.1775794029,73.84
23.0820000000,71.5366897583,20.6365203857,-5.0182695389,74.62
23.0910000000,68.6286926270,20.1738166809,-4.9386143684,71.70
23.1010000000,72.1182937622,20.3588981628,-4.7793040276,75.09
23.1110000000,71.1489562988,19.5260334015,-5.1775794029,73.96
23.1210000000,69.4041595459,20.1738166809,-5.2572345734,72.47
23.1310000000,69.5980300903,19.5260334015,-4.8589591980,72.45
23.1410000000,72.1182937622,19.0633316040,-4.7793040276,74.75
23.1500000000,70.9550933838,19.8036556244,-4.7793040276,73.82
23.1600000000,70.5673599243,20.1738166809,-5.2572345734,73.58
23.1700000000,70.5673599243,20.7290592194,-5.2572345734,73.74
