t,x,y,z,mf
107.2780000000,59.9626960754,24.2455978394,-7.4875764847,65.11
107.2880000000,60.7569046021,24.6157588959,-7.9655065536,66.04
107.2980000000,60.3598022461,24.8008403778,-7.4875764847,65.68
107.3070000000,59.7641448975,24.5232181549,-7.8858518600,65.08
107.3170000000,58.5728340149,24.5232181549,-8.0451622009,64.01
107.3270000000,60.5583534241,24.1530570984,-7.5672311783,65.63
107.3370000000,60.7569046021,24.8008403778,-7.4875764847,66.05
107.3470000000,58.5728340149,24.3381385803,-8.2044715881,63.96
107.3570000000,60.9554557800,24.5232181549,-7.5672311783,66.14
107.3660000000,61.1540069580,24.2455978394,-7.4875764847,66.21
107.3770000000,59.7641448975,24.8933811188,-7.8858518600,65.22
107.3860000000,59.3670387268,24.5232181549,-7.2486109734,64.64
107.3960000000,61.5511131287,24.0605163574,-7.1689558029,66.47
107.4060000000,60.3598022461,24.8008403778,-7.3282661438,65.67
107.4160000000,60.1612472534,24.1530570984,-7.2486109734,65.23
107.4260000000,62.1467666626,24.5232181549,-8.2044715881,67.31
107.4350000000,58.3742790222,23.6903553009,-8.2841272354,63.54
107.4460000000,60.1612472534,24.8933811188,-7.8858518600,65.58
107.4550000000,60.5583534241,23.7828941345,-7.5672311783,65.50
107.4650000000,59.7641448975,24.3381385803,-7.8858518600,65.01
107.4750000000,61.7496643066,24.1530570984,-7.7265415192,66.75
107.4850000000,61.1540069580,24.6157588959,-7.4875764847,66.35
107.4950000000,60.7569046021,24.6157588959,-7.4875764847,65.98
107.5040000000,61.1540069580,24.8008403778,-7.4875764847,66.42
107.5150000000,60.7569046021,24.0605163574,-7.9655065536,65.83
107.5240000000,59.5655937195,24.4306774139,-7.3282661438,64.80
107.5340000000,61.3525619507,24.5232181549,-7.5672311783,66.50
107.5440000000,60.9554557800,24.1530570984,-7.8858518600,66.04
107.5540000000,60.9554557800,23.5978145599,-7.2486109734,65.76
107.5640000000,59.1684875488,24.6157588959,-7.1689558029,64.48
