t,x,y,z,mf
33.8880000000,68.8225631714,21.1917629242,-4.8589591980,72.18
33.8980000000,67.8532333374,20.9141407013,-5.0979242325,71.19
33.9070000000,68.4348297119,20.4514389038,-5.1775794029,71.61
33.9170000000,68.0470962524,21.3768424988,-5.0182695389,71.50
33.9270000000,68.6286926270,20.5439796448,-5.2572345734,71.83
33.9370000000,68.4348297119,20.8215999603,-5.4961996078,71.74
33.9470000000,67.4654998779,20.5439796448,-5.7351651192,70.76
33.9570000000,68.4348297119,20.6365203857,-5.4961996078,71.69
33.9660000000,67.8532333374,21.0992221832,-5.8944749832,71.30
33.9770000000,68.4348297119,21.0066814423,-5.4961996078,71.80
33.9860000000,67.4654998779,21.0992221832,-4.9386143684,70.86
33.9960000000,67.8532333374,21.2843036652,-5.4165449142,71.32
34.0060000000,68.6286926270,21.0992221832,-4.7793040276,71.96
34.0160000000,70.1796264648,20.9141407013,-5.8944749832,73.47
34.0260000000,67.2716293335,21.1917629242,-5.4961996078,70.74
34.0350000000,68.2409667969,20.9141407013,-5.2572345734,71.57
34.0450000000,68.2409667969,20.5439796448,-5.5758547783,71.48
34.0550000000,69.4041595459,21.2843036652,-5.5758547783,72.81
34.0650000000,68.8225631714,21.1917629242,-5.6555099487,72.23
34.0750000000,68.8225631714,21.0066814423,-5.6555099487,72.18
34.0850000000,67.6593627930,21.3768424988,-5.0182695389,71.13
34.0940000000,67.6593627930,20.6365203857,-5.1775794029,70.93
34.1050000000,67.2716293335,21.1917629242,-5.0182695389,70.71
34.1140000000,69.4041595459,21.4693832397,-4.6199941635,72.80
34.1240000000,68.4348297119,21.0066814423,-5.3368897438,71.79
34.1340000000,68.6286926270,20.7290592194,-5.2572345734,71.88
34.1440000000,68.4348297119,21.1917629242,-5.4961996078,71.85
34.1540000000,68.0470962524,21.0066814423,-4.6996488571,71.37
34.1640000000,66.4961624146,21.0066814423,-5.3368897438,69.94
34.1730000000,68.2409667969,20.9141407013,-4.6199941635,71.52
34.1840000000,67.6593627930,20.8215999603,-5.3368897438,70.99
34.1930000000,67.6593627930,20.6365203857,-4.8589591980,70.90
34.2030000000,67.2716293335,20.8215999603,-4.6996488571,70.58
34.2130000000,66.4961624146,20.4514389038,-4.8589591980,69.74
34.2230000000,67.8532333374,21.4693832397,-4.9386143684,71.34
34.2330000000,69.7918930054,20.5439796448,-4.7793040276,72.91
34.2430000000,67.6593627930,20.8215999603,-5.4961996078,71.00
34.2520000000,68.2409667969,20.3588981628,-5.4165449142,71.42
34.2620000000,68.0470962524,21.5619239807,-5.1775794029,71.57
34.2720000000,67.8532333374,21.2843036652,-5.0979242325,71.30
34.2820000000,68.4348297119,21.0066814423,-5.0182695389,71.76
34.2920000000,67.6593627930,22.1171665192,-5.0182695389,71.36
34.3020000000,68.2409667969,20.9141407013,-4.9386143684,71.54
34.3120000000,68.6286926270,20.9141407013,-5.5758547783,71.96
34.3210000000,67.0777664185,20.5439796448,-5.4165449142,70.36
34.3310000000,68.4348297119,21.0066814423,-5.4961996078,71.80
34.3410000000,67.8532333374,21.0992221832,-5.2572345734,71.25
34.3510000000,68.0470962524,20.0812759399,-5.4961996078,71.16
34.3610000000,66.8838958740,20.4514389038,-5.1775794029,70.13
34.3710000000,68.4348297119,20.8215999603,-5.4961996078,71.74
34.3810000000,68.4348297119,20.4514389038,-5.1775794029,71.61
34.3900000000,67.2716293335,21.0066814423,-4.8589591980,70.64
34.4000000000,66.6900329590,20.7290592194,-5.7351651192,70.07
34.4100000000,67.6593627930,20.6365203857,-5.9741301537,70.99
34.4200000000,68.0470962524,20.2663574219,-5.0182695389,71.18
34.4300000000,68.6286926270,20.5439796448,-5.0979242325,71.82
34.4400000000,69.0164260864,20.3588981628,-5.5758547783,72.17
34.4490000000,68.4348297119,21.9320850372,-5.1775794029,72.05
34.4590000000,66.8838958740,20.2663574219,-5.4961996078,70.10
34.4690000000,67.6593627930,21.0066814423,-5.0182695389,71.02
34.4790000000,67.2716293335,20.0812759399,-5.1775794029,70.40
34.4890000000,69.7918930054,21.0992221832,-5.2572345734,73.10
34.4990000000,68.0470962524,21.5619239807,-5.3368897438,71.58
34.5090000000,70.3734970093,21.3768424988,-4.6996488571,73.70
34.5190000000,67.4654998779,21.0992221832,-4.7793040276,70.85
34.5280000000,69.0164260864,20.5439796448,-4.9386143684,72.18
34.5380000000,67.6593627930,21.5619239807,-5.1775794029,71.20
34.5480000000,67.4654998779,21.0992221832,-5.5758547783,70.91
34.5580000000,67.8532333374,21.0992221832,-4.9386143684,71.23
34.5680000000,67.0777664185,20.9141407013,-5.2572345734,70.46
34.5780000000,66.8838958740,20.6365203857,-5.3368897438,70.20
34.5870000000,66.3022994995,21.4693832397,-4.9386143684,69.87
34.5980000000,68.0470962524,20.8215999603,-4.6996488571,71.32
34.6070000000,68.6286926270,20.9141407013,-5.5758547783,71.96
34.6170000000,66.8838958740,21.1917629242,-5.3368897438,70.36
34.6270000000,68.6286926270,21.0992221832,-5.4165449142,72.00
34.6370000000,67.6593627930,21.3768424988,-5.1775794029,71.14
34.6470000000,69.5980300903,21.3768424988,-4.5403389931,72.95
34.6570000000,68.0470962524,21.1917629242,-5.1775794029,71.46
34.6660000000,67.8532333374,20.9141407013,-5.4165449142,71.21
34.6760000000,68.6286926270,20.5439796448,-4.9386143684,71.81
34.6860000000,67.0777664185,21.0992221832,-4.6199941635,70.47
34.6960000000,67.8532333374,21.4693832397,-5.2572345734,71.36
34.7060000000,67.8532333374,20.1738166809,-5.0979242325,70.97
34.7160000000,66.8838958740,20.6365203857,-5.0182695389,70.17
34.7260000000,69.0164260864,21.0992221832,-5.5758547783,72.38
34.7350000000,66.8838958740,21.0066814423,-5.3368897438,70.31
34.7450000000,68.4348297119,21.3768424988,-5.8148202896,71.93
34.7550000000,69.0164260864,21.0992221832,-5.0979242325,72.35
34.7650000000,67.4654998779,21.4693832397,-5.4165449142,71.01
34.7750000000,68.4348297119,19.8961963654,-5.0182695389,71.44
34.7850000000,68.6286926270,21.6544647217,-5.5758547783,72.18
34.7950000000,68.2409667969,20.9141407013,-5.4165449142,71.58
34.8040000000,68.6286926270,20.5439796448,-5.5758547783,71.85
34.8140000000,66.8838958740,21.7470054626,-5.3368897438,70.53
34.8240000000,69.2102966309,20.8215999603,-5.6555099487,72.50
34.8340000000,68.8225631714,20.6365203857,-4.6996488571,72.00
34.8440000000,68.2409667969,21.2843036652,-5.2572345734,71.68
34.8540000000,66.6900329590,21.6544647217,-5.2572345734,70.31
34.8640000000,68.0470962524,21.1917629242,-5.4961996078,71.48
34.8740000000,66.4961624146,21.0066814423,-5.1775794029,69.93
34.8830000000,68.2409667969,21.0992221832,-5.4165449142,71.63
34.8930000000,67.0777664185,21.6544647217,-4.7793040276,70.65
34.9030000000,68.0470962524,20.8215999603,-5.1775794029,71.35
