time,x,y,z,MF
2.937,0.00,20.67,-34.23,39.99
2.958,0.00,19.28,-36.27,41.07
2.978,-2.79,18.58,-34.91,39.64
2.998,-1.39,19.28,-34.91,39.90
3.017,-1.39,19.98,-36.27,41.43
3.039,0.00,19.28,-34.91,39.87
3.059,-1.39,19.98,-34.91,40.24
3.080,-1.39,18.58,-34.91,39.57
3.100,0.00,19.98,-34.23,39.63
3.120,-1.39,19.98,-34.23,39.65
3.139,-1.39,18.58,-35.59,40.17
3.160,0.00,21.37,-34.91,40.93
3.180,-1.39,19.98,-34.23,39.65
3.200,-0.69,19.98,-34.91,40.22
3.221,-1.39,19.28,-34.91,39.90
3.239,-1.39,19.28,-34.23,39.31
3.259,-2.09,19.98,-34.91,40.27
3.287,-2.79,19.28,-34.91,39.97
3.300,0.00,19.28,-33.55,38.69
3.321,-0.69,19.98,-35.59,40.81
3.340,-1.39,20.67,-34.23,40.01
3.360,-1.39,19.98,-34.91,40.24
3.381,-1.39,20.67,-34.91,40.59
3.400,-0.69,19.98,-34.23,39.64
3.422,-1.39,19.98,-35.59,40.83
3.448,-0.69,19.28,-36.27,41.08
3.460,-1.39,21.37,-34.91,40.95
3.481,-0.69,20.67,-35.59,41.16
3.504,-1.39,19.98,-34.23,39.65
3.521,-0.69,19.98,-33.55,39.05
3.543,-1.39,19.98,-36.27,41.43
3.563,0.00,19.98,-34.91,40.22
3.583,-3.49,19.28,-34.23,39.44
3.602,-1.39,19.28,-35.59,40.49
3.621,-0.69,19.28,-34.91,39.88
3.642,-0.69,20.67,-34.91,40.57
3.662,-1.39,20.67,-33.55,39.43
3.682,-1.39,20.67,-35.59,41.18
3.702,0.00,19.98,-35.59,40.81
3.723,-1.39,19.28,-33.55,38.72
3.742,-3.49,19.98,-35.59,40.96
3.763,-2.09,20.67,-34.91,40.62
3.784,0.70,19.98,-32.87,38.47
3.804,-1.39,19.98,-34.23,39.65
3.823,-1.39,20.67,-34.91,40.59
3.843,-1.39,20.67,-33.55,39.43
3.866,-2.79,19.28,-35.59,40.57
3.884,-2.09,19.98,-34.91,40.27
3.905,-2.79,19.28,-34.23,39.38
3.925,-2.09,18.58,-35.59,40.20
3.944,-1.39,20.67,-34.23,40.01
3.964,0.00,19.28,-34.23,39.28
3.984,0.00,19.98,-33.55,39.04
4.005,-1.39,21.37,-34.91,40.95
4.038,-3.49,19.28,-35.59,40.62
4.044,-1.39,19.98,-35.59,40.83
4.064,-2.79,19.28,-34.23,39.38
4.085,-2.09,22.07,-35.59,41.93
4.108,-1.39,19.98,-34.23,39.65
4.128,-0.69,19.28,-35.59,40.48
