time,x,y,z,MF
2.797,13.60,-12.04,-58.51,61.26
2.807,14.03,-12.14,-58.66,61.53
2.827,13.62,-12.13,-58.87,61.63
2.836,13.64,-11.80,-59.17,61.86
2.857,13.83,-11.91,-59.27,62.02
2.877,13.60,-11.96,-58.56,61.29
2.899,13.75,-12.23,-58.50,61.33
2.928,13.44,-12.19,-58.67,61.41
2.933,13.49,-11.95,-58.69,61.40
2.952,13.86,-11.97,-58.85,61.64
2.971,13.86,-11.97,-58.94,61.72
3.001,13.82,-12.02,-58.75,61.54
3.013,13.58,-12.02,-58.78,61.52
3.031,13.88,-12.10,-58.66,61.48
3.051,13.99,-12.30,-58.51,61.41
3.068,13.75,-12.19,-58.55,61.37
3.096,13.48,-12.21,-58.90,61.65
3.106,13.88,-12.10,-58.70,61.52
3.132,13.68,-11.91,-58.66,61.40
3.147,13.72,-12.13,-58.27,61.08
3.164,13.75,-12.01,-58.38,61.17
3.196,13.59,-11.99,-58.65,61.38
3.202,13.72,-11.97,-58.89,61.64
3.222,13.64,-11.95,-58.61,61.35
3.242,13.93,-12.07,-58.62,61.45
3.261,13.70,-12.08,-58.51,61.29
3.281,13.84,-11.99,-58.57,61.37
3.301,13.68,-11.87,-58.71,61.44
3.316,13.33,-11.98,-58.91,61.58
3.336,13.89,-12.00,-58.48,61.29
3.355,13.87,-12.09,-58.84,61.65
3.375,13.94,-12.03,-59.13,61.93
3.401,13.63,-11.94,-58.75,61.48
3.413,13.45,-12.08,-58.59,61.31
3.432,13.55,-12.15,-58.59,61.35
3.454,14.19,-12.04,-58.36,61.25
3.472,13.80,-12.19,-58.46,61.29
3.500,13.73,-12.18,-58.74,61.54
3.511,13.95,-11.93,-58.95,61.74
3.531,13.91,-12.05,-58.29,61.13
3.550,13.71,-12.08,-58.37,61.16
3.573,13.97,-12.05,-58.76,61.59
3.592,13.69,-12.03,-58.60,61.37
3.612,13.73,-12.10,-58.69,61.48
3.634,13.52,-12.09,-59.01,61.73
3.644,13.74,-12.07,-58.56,61.35
3.666,13.73,-11.94,-58.75,61.51
3.684,13.40,-12.19,-58.58,61.32
3.717,13.84,-12.11,-58.61,61.43
3.724,13.83,-11.99,-58.62,61.41
3.742,13.82,-12.21,-58.83,61.65
3.761,14.13,-12.18,-58.57,61.47
3.781,13.77,-12.28,-58.87,61.69
