time,x,y,z,MF
0.005,14.12,-10.97,-60.46,63.05
0.023,14.14,-10.87,-60.10,62.69
0.047,14.07,-10.82,-60.38,62.93
0.059,14.18,-10.83,-60.20,62.79
0.092,14.20,-10.87,-60.06,62.66
0.098,13.94,-10.95,-60.27,62.82
0.121,14.41,-10.92,-60.48,63.13
0.136,14.23,-10.86,-60.89,63.47
0.155,14.17,-10.82,-60.39,62.96
0.174,13.85,-10.80,-60.18,62.69
0.195,14.06,-10.85,-60.52,63.07
0.221,13.78,-10.93,-60.49,63.00
0.233,14.14,-10.79,-60.15,62.73
0.252,14.50,-11.04,-60.53,63.21
0.270,14.40,-11.11,-60.56,63.24
0.299,14.22,-10.94,-60.33,62.95
0.314,13.95,-10.84,-60.69,63.21
0.329,13.71,-11.11,-60.15,62.69
0.348,14.18,-10.94,-60.24,62.85
0.366,14.45,-11.11,-59.96,62.67
0.386,14.21,-10.85,-60.52,63.11
0.413,14.16,-10.96,-60.56,63.15
0.425,13.84,-10.87,-60.22,62.74
0.447,14.12,-10.89,-60.38,62.96
0.463,14.43,-10.86,-60.17,62.82
0.483,14.45,-11.07,-59.92,62.63
0.502,14.00,-10.96,-60.09,62.66
0.531,14.25,-10.92,-59.97,62.60
0.539,14.06,-10.84,-60.61,63.15
0.559,14.00,-10.84,-60.10,62.65
0.580,13.80,-10.87,-60.22,62.73
0.617,14.20,-10.91,-60.06,62.67
0.619,14.27,-11.01,-60.38,63.01
0.636,14.08,-10.97,-60.37,62.95
0.655,14.40,-11.07,-60.57,63.23
0.674,14.26,-10.92,-60.57,63.17
0.695,13.64,-11.02,-60.99,63.46
0.712,13.55,-10.91,-60.30,62.75
0.732,14.25,-11.07,-60.05,62.70
0.754,14.35,-11.00,-59.92,62.59
0.771,14.33,-11.10,-60.19,62.86
0.814,14.38,-11.06,-60.20,62.87
0.816,14.23,-10.91,-60.20,62.81
0.829,13.71,-10.96,-60.12,62.63
0.848,14.23,-11.05,-60.33,62.96
0.881,14.21,-10.96,-59.87,62.50
0.888,14.08,-10.78,-60.34,62.89
0.919,14.22,-11.08,-60.46,63.09
0.924,14.30,-10.92,-60.57,63.19
0.947,14.33,-11.05,-60.29,62.94
0.963,14.06,-11.00,-60.00,62.59
0.983,14.00,-10.99,-60.18,62.75
1.007,14.34,-11.06,-60.15,62.81
1.033,14.03,-10.98,-60.37,62.94
1.041,14.41,-11.00,-60.53,63.18
1.064,14.44,-11.10,-60.10,62.80
1.080,14.37,-10.97,-60.39,63.03
1.105,14.40,-11.11,-59.96,62.66
1.117,14.13,-10.90,-60.24,62.83
1.137,14.14,-11.02,-60.18,62.80
1.156,14.55,-10.92,-59.89,62.59
1.176,14.28,-10.98,-60.29,62.92
1.210,14.63,-11.02,-60.17,62.89
1.236,14.05,-10.99,-60.13,62.72
1.238,14.15,-11.00,-60.00,62.62
1.254,14.22,-11.17,-59.76,62.44
1.272,14.40,-10.84,-59.89,62.54
1.291,14.40,-11.07,-60.01,62.70
1.328,14.31,-11.08,-59.87,62.54
1.333,14.27,-10.97,-60.38,63.01
1.354,14.01,-10.89,-60.56,63.10
1.366,13.93,-10.90,-59.72,62.28
1.385,14.21,-11.04,-59.86,62.51
1.412,14.17,-11.13,-59.76,62.42
1.438,14.19,-11.02,-60.19,62.81
1.445,14.17,-10.93,-60.38,62.97
1.464,14.53,-11.02,-60.16,62.86
1.485,14.18,-10.82,-60.25,62.83
1.511,14.09,-10.98,-60.23,62.82
1.537,14.17,-11.16,-60.50,63.13
1.543,14.09,-11.10,-60.18,62.79
1.561,14.43,-11.02,-60.15,62.84
1.579,14.44,-11.03,-60.02,62.71
1.611,14.23,-10.94,-60.24,62.86
1.617,14.08,-11.09,-60.31,62.92
1.637,14.29,-11.11,-60.10,62.76
1.657,14.51,-11.16,-59.87,62.61
1.674,14.36,-11.12,-59.91,62.60
1.694,14.52,-11.01,-60.30,62.99
1.730,14.48,-10.90,-60.21,62.88
1.735,14.39,-10.99,-60.06,62.73
1.759,14.25,-10.95,-60.06,62.69
1.772,14.06,-11.04,-59.99,62.60
1.814,14.29,-10.99,-60.10,62.75
1.816,14.11,-11.19,-59.99,62.63
1.840,14.01,-11.00,-60.59,63.16
1.847,14.07,-11.32,-60.48,63.12
1.868,14.23,-11.06,-60.23,62.87
1.888,14.32,-11.05,-60.33,62.99
1.910,14.23,-11.02,-60.28,62.91
1.929,13.90,-10.87,-60.83,63.33
1.954,13.78,-10.94,-60.40,62.91
1.965,13.89,-10.68,-60.84,63.31
1.981,13.95,-10.99,-60.82,63.36
2.002,13.75,-11.10,-60.29,62.83
2.023,13.42,-10.93,-61.31,63.70
2.039,13.92,-11.00,-60.54,63.09
2.059,14.17,-11.09,-59.76,62.41
2.080,14.20,-11.19,-60.04,62.70
2.099,14.25,-10.99,-60.66,63.27
2.128,14.21,-11.00,-60.61,63.21
2.150,14.08,-11.09,-60.31,62.92
2.155,14.37,-11.09,-60.38,63.05
2.175,14.24,-11.10,-60.14,62.79
2.196,14.14,-10.99,-60.14,62.75
2.214,14.27,-10.89,-60.34,62.95
2.250,14.30,-11.07,-60.01,62.67
2.251,14.39,-11.10,-60.10,62.79
2.273,14.05,-10.92,-60.00,62.58
2.291,14.09,-11.06,-59.62,62.25
2.330,14.29,-10.72,-60.08,62.67
2.331,14.44,-11.06,-60.11,62.80
2.353,14.15,-10.84,-60.61,63.18
2.366,14.14,-10.94,-60.24,62.83
2.384,14.38,-10.98,-60.25,62.90
2.415,14.39,-11.03,-60.06,62.74
2.423,14.17,-10.93,-60.42,63.02
2.443,14.37,-10.97,-60.29,62.95
2.462,14.32,-10.93,-59.74,62.40
2.483,14.48,-11.02,-60.16,62.85
2.502,15.01,-11.01,-60.24,63.05
2.533,14.84,-10.72,-59.83,62.57
2.538,14.60,-11.08,-59.84,62.58
2.560,14.88,-10.79,-59.92,62.68
2.583,14.99,-10.88,-59.78,62.59
2.599,14.47,-10.78,-59.57,62.25
2.635,14.74,-10.84,-59.91,62.64
2.641,15.07,-10.70,-60.08,62.85
2.661,14.59,-11.03,-59.98,62.71
