time,x,y,z,MF
0.006,-8.46,-14.15,-71.78,73.65
0.024,-9.16,-14.15,-71.10,73.07
0.039,-7.07,-14.85,-73.82,75.63
0.059,-7.77,-14.85,-73.14,75.04
0.079,-9.16,-14.85,-72.46,74.53
0.110,-7.77,-14.85,-71.78,73.71
0.131,-10.56,-14.85,-73.82,76.04
0.147,-7.77,-16.24,-71.78,74.01
0.164,-9.86,-13.45,-71.10,73.03
0.181,-7.77,-15.54,-73.14,75.18
0.200,-7.77,-14.85,-71.78,73.71
0.222,-7.77,-15.54,-72.46,74.52
0.259,-8.46,-14.15,-73.14,74.98
0.261,-9.16,-14.85,-72.46,74.53
0.282,-8.46,-14.15,-73.14,74.98
0.301,-7.77,-14.85,-71.78,73.71
0.321,-8.46,-14.85,-73.82,75.78
0.342,-9.16,-14.85,-71.78,73.87
0.374,-8.46,-14.15,-73.14,74.98
0.382,-8.46,-15.54,-72.46,74.59
0.402,-9.16,-14.85,-72.46,74.53
0.422,-7.77,-14.15,-73.82,75.57
0.443,-7.77,-14.15,-72.46,74.24
0.464,-8.46,-14.85,-72.46,74.45
0.483,-7.07,-12.75,-72.46,73.92
0.504,-9.86,-14.15,-73.14,75.15
0.533,-9.86,-13.45,-71.78,73.70
0.543,-7.77,-16.24,-72.46,74.67
0.563,-9.16,-14.85,-73.14,75.20
0.584,-8.46,-14.85,-72.46,74.45
0.604,-8.46,-14.15,-73.14,74.98
0.623,-9.16,-14.85,-73.14,75.20
0.658,-7.07,-16.24,-71.78,73.94
0.663,-8.46,-14.15,-73.14,74.98
0.684,-7.07,-16.94,-72.46,74.75
0.704,-8.46,-14.85,-72.46,74.45
0.724,-9.16,-15.54,-73.82,76.00
0.745,-9.16,-14.85,-73.82,75.86
0.765,-8.46,-14.15,-73.82,75.64
0.787,-7.77,-14.85,-74.50,76.36
0.805,-8.46,-14.85,-72.46,74.45
0.826,-9.16,-15.54,-73.14,75.34
0.845,-9.16,-14.85,-72.46,74.53
0.866,-8.46,-14.15,-73.82,75.64
0.887,-8.46,-15.54,-71.78,73.93
0.906,-9.16,-14.15,-71.78,73.74
0.932,-8.46,-15.54,-73.14,75.26
0.946,-7.77,-15.54,-73.14,75.18
0.966,-8.46,-15.54,-71.78,73.93
