time,x,y,z,MF
0.005,13.65,-11.11,-58.99,61.56
0.017,13.89,-11.25,-59.09,61.73
0.036,14.00,-11.38,-58.90,61.60
0.059,14.08,-11.25,-58.45,61.17
0.095,14.26,-11.32,-58.60,61.36
0.097,14.25,-11.39,-58.78,61.54
0.127,14.32,-11.29,-59.11,61.86
0.142,14.13,-11.36,-59.14,61.86
0.152,13.85,-11.19,-58.91,61.54
0.188,14.11,-11.43,-58.67,61.42
0.197,14.15,-11.19,-58.83,61.53
0.213,13.96,-11.20,-58.77,61.44
0.229,14.17,-11.24,-59.20,61.90
0.249,14.01,-11.35,-58.76,61.47
0.279,14.10,-11.16,-58.74,61.43
0.311,13.87,-11.44,-58.66,61.35
0.312,13.97,-11.40,-58.62,61.33
0.336,14.14,-11.38,-58.91,61.64
0.358,14.20,-11.50,-58.81,61.59
0.369,14.18,-11.29,-59.10,61.82
0.383,14.23,-11.37,-59.10,61.84
0.425,14.01,-11.36,-58.72,61.42
0.426,14.12,-11.64,-58.57,61.36
0.459,14.21,-11.35,-58.68,61.44
0.460,13.94,-11.38,-58.99,61.67
0.484,14.18,-11.22,-58.97,61.68
0.509,13.01,-12.15,-59.34,61.96
0.532,13.12,-12.01,-59.08,61.70
0.550,13.24,-12.11,-58.76,61.44
0.567,13.38,-12.18,-58.85,61.57
0.588,13.35,-12.23,-58.62,61.35
0.599,13.26,-12.24,-58.56,61.28
0.620,13.22,-12.28,-59.11,61.81
0.657,13.17,-12.05,-59.03,61.68
0.659,13.54,-12.30,-58.72,61.50
0.671,13.20,-12.19,-58.70,61.39
0.690,13.21,-12.39,-58.55,61.29
0.711,13.14,-12.22,-58.88,61.56
0.728,13.17,-12.20,-58.47,61.16
0.748,13.21,-12.31,-58.60,61.32
0.769,13.36,-12.39,-58.56,61.33
0.807,13.16,-12.39,-58.69,61.41
0.809,13.08,-12.13,-59.02,61.66
0.825,12.93,-12.25,-59.05,61.68
0.856,12.74,-12.14,-59.05,61.62
0.879,13.28,-12.13,-58.94,61.63
0.883,13.38,-12.48,-58.97,61.74
0.902,13.53,-12.41,-58.85,61.64
0.926,13.14,-12.26,-58.88,61.56
0.940,13.19,-12.14,-58.80,61.47
0.959,13.28,-12.17,-58.94,61.63
0.982,13.52,-12.32,-58.39,61.19
1.000,13.47,-12.48,-58.42,61.24
1.035,13.59,-12.30,-58.67,61.47
1.042,13.66,-12.24,-58.40,61.22
1.064,13.36,-12.31,-58.56,61.32
1.074,13.11,-12.28,-58.55,61.25
1.094,13.37,-12.40,-58.37,61.16
1.121,13.44,-12.30,-58.80,61.56
1.145,13.32,-12.17,-58.99,61.69
1.152,13.40,-12.23,-59.22,61.94
1.171,13.49,-12.18,-58.77,61.51
1.200,13.11,-12.39,-58.59,61.31
1.210,13.18,-12.21,-58.98,61.65
1.231,13.37,-12.55,-58.50,61.31
1.249,13.20,-12.42,-58.09,60.85
1.268,13.26,-12.43,-58.60,61.35
1.307,13.31,-12.43,-58.55,61.32
1.339,13.42,-12.48,-58.42,61.22
1.341,13.33,-12.52,-58.32,61.12
1.345,13.35,-12.46,-58.74,61.51
1.366,13.39,-12.22,-58.76,61.49
1.384,13.41,-12.47,-58.56,61.35
1.418,13.27,-12.36,-58.51,61.25
1.422,13.45,-12.38,-58.66,61.44
1.446,13.27,-12.29,-58.38,61.11
1.459,13.16,-12.23,-58.60,61.30
1.478,13.52,-12.29,-58.30,61.10
1.499,13.29,-12.26,-58.80,61.51
1.519,13.30,-12.30,-58.70,61.43
1.539,13.65,-12.38,-58.58,61.41
1.558,13.72,-12.32,-58.91,61.73
1.575,13.43,-12.17,-58.86,61.58
1.598,13.34,-12.30,-58.80,61.53
1.612,13.39,-12.30,-58.75,61.50
1.633,13.44,-12.26,-58.76,61.51
1.654,13.69,-12.49,-58.11,60.99
1.672,13.51,-12.32,-58.48,61.27
1.711,13.69,-12.53,-58.75,61.61
1.715,13.56,-12.36,-58.44,61.25
1.729,13.20,-12.30,-58.79,61.49
1.749,13.24,-12.14,-58.80,61.48
1.772,13.56,-12.39,-58.43,61.25
1.788,13.65,-12.38,-58.62,61.45
1.829,13.46,-12.66,-58.55,61.39
1.832,13.51,-12.31,-58.53,61.32
1.851,13.28,-12.13,-58.94,61.63
1.865,13.18,-12.41,-58.96,61.68
1.897,13.39,-12.22,-58.80,61.53
1.928,13.32,-12.44,-58.46,61.23
1.929,13.42,-12.59,-58.41,61.24
1.941,13.53,-12.40,-58.94,61.73
1.961,13.59,-12.42,-58.66,61.49
1.980,13.39,-12.57,-58.83,61.63
2.004,13.35,-12.46,-58.65,61.43
2.018,13.30,-12.27,-58.70,61.43
2.039,13.30,-12.15,-58.67,61.37
2.057,13.50,-12.27,-58.62,61.39
2.076,13.55,-12.46,-58.66,61.48
2.095,13.39,-12.34,-58.75,61.51
2.122,13.31,-12.50,-58.64,61.42
2.144,13.36,-12.31,-58.56,61.32
2.154,13.19,-12.41,-58.83,61.55
2.171,13.45,-12.31,-58.57,61.34
2.192,13.45,-12.42,-58.70,61.49
2.225,13.43,-12.33,-58.89,61.65
2.252,13.15,-12.42,-58.73,61.45
2.255,13.36,-12.39,-58.61,61.37
2.277,13.26,-12.47,-58.60,61.36
2.289,13.39,-12.26,-58.80,61.54
2.315,13.44,-12.18,-58.76,61.50
2.326,13.37,-12.32,-59.03,61.77
2.344,13.22,-12.24,-59.16,61.85
2.366,13.13,-12.21,-59.07,61.73
2.383,13.34,-12.15,-58.71,61.42
2.403,13.42,-12.47,-58.46,61.27
2.426,13.15,-12.26,-58.79,61.47
2.442,13.20,-12.15,-58.10,60.81
2.460,13.23,-12.37,-58.37,61.11
2.481,13.24,-12.22,-58.80,61.50
2.502,13.04,-12.18,-58.88,61.52
2.520,13.28,-12.21,-58.94,61.64
2.543,13.00,-12.34,-58.82,61.49
2.557,13.14,-12.30,-58.23,60.95
2.575,13.66,-12.47,-58.43,61.29
2.596,13.48,-12.45,-58.89,61.68
2.626,13.19,-12.22,-58.84,61.53
2.636,13.53,-12.29,-58.85,61.63
2.653,13.25,-12.42,-58.74,61.48
2.673,13.37,-12.28,-58.43,61.18
2.690,13.57,-12.44,-58.38,61.22
2.730,13.27,-12.55,-58.54,61.33
2.732,13.21,-12.35,-58.65,61.37
2.762,13.36,-12.23,-58.57,61.31
2.768,13.21,-12.16,-58.57,61.26
2.787,13.38,-12.25,-58.25,61.01
2.817,13.22,-12.36,-58.42,61.16
2.838,13.46,-12.24,-59.09,61.82
2.846,13.38,-12.25,-58.85,61.58
2.868,13.52,-12.32,-58.94,61.72
2.883,13.39,-12.41,-58.79,61.56
2.913,13.30,-12.30,-58.70,61.43
2.920,13.53,-12.33,-58.90,61.68
2.944,13.74,-12.45,-58.72,61.57
2.963,13.49,-12.30,-58.11,60.91
2.980,13.45,-12.43,-58.61,61.40
2.999,13.59,-12.42,-58.71,61.53
3.031,13.30,-12.43,-58.65,61.41
3.067,13.46,-12.39,-58.52,61.31
3.070,13.37,-12.20,-58.44,61.17
3.079,13.41,-12.47,-58.51,61.31
3.093,13.33,-12.29,-58.33,61.08
3.128,13.73,-12.41,-58.77,61.61
3.132,13.49,-12.37,-58.80,61.58
3.152,13.02,-12.20,-59.16,61.79
3.171,13.39,-12.38,-58.75,61.51
3.191,13.50,-12.46,-58.61,61.42
3.228,13.30,-12.54,-58.69,61.47
3.230,13.23,-12.37,-58.32,61.07
3.262,13.28,-12.33,-58.93,61.65
3.267,13.44,-12.46,-58.74,61.54
3.288,13.20,-12.23,-59.30,61.97
3.306,12.82,-12.16,-59.19,61.77
