time,x,y,z,MF
0.005,-9.86,-14.15,-72.46,74.49
0.022,-8.46,-14.85,-72.46,74.45
0.040,-9.16,-14.85,-73.14,75.20
0.063,-7.77,-14.85,-72.46,74.38
0.084,-7.77,-14.85,-71.78,73.71
0.100,-8.46,-14.15,-73.14,74.98
0.122,-9.16,-14.15,-72.46,74.40
0.151,-9.16,-14.85,-73.14,75.20
0.169,-8.46,-14.85,-73.82,75.78
0.186,-8.46,-14.85,-73.14,75.11
0.203,-7.77,-15.54,-73.14,75.18
0.222,-8.46,-15.54,-73.14,75.26
0.255,-8.46,-14.85,-72.46,74.45
0.271,-7.77,-14.15,-73.14,74.90
0.288,-8.46,-14.15,-73.14,74.98
0.311,-8.46,-13.45,-72.46,74.19
0.323,-7.77,-14.85,-71.78,73.71
0.343,-8.46,-14.85,-73.14,75.11
0.375,-9.16,-14.85,-73.82,75.86
0.391,-7.77,-14.15,-71.10,72.91
0.408,-9.16,-14.15,-73.82,75.72
0.426,-8.46,-13.45,-72.46,74.19
0.443,-7.77,-14.85,-72.46,74.38
0.466,-8.46,-13.45,-71.78,73.52
0.487,-9.16,-15.54,-71.78,74.02
0.504,-8.46,-14.85,-73.14,75.11
0.536,-9.16,-14.15,-71.78,73.74
0.543,-8.46,-14.85,-73.14,75.11
0.564,-9.16,-14.85,-71.78,73.87
0.585,-7.77,-14.15,-72.46,74.24
0.606,-7.77,-14.85,-71.78,73.71
0.625,-7.07,-16.24,-72.46,74.60
0.653,-8.46,-14.85,-73.14,75.11
0.666,-8.46,-15.54,-73.14,75.26
0.685,-8.46,-14.85,-73.14,75.11
0.705,-7.77,-14.15,-72.46,74.24
0.730,-8.46,-13.45,-73.82,75.51
0.746,-9.86,-14.85,-72.46,74.62
0.765,-9.86,-14.85,-73.14,75.28
0.787,-7.77,-14.15,-73.14,74.90
0.808,-8.46,-14.85,-72.46,74.45
0.827,-8.46,-15.54,-71.10,73.27
0.847,-9.16,-15.54,-71.78,74.02
0.867,-8.46,-15.54,-72.46,74.59
0.886,-9.16,-14.85,-73.82,75.86
0.909,-8.46,-13.45,-71.78,73.52
0.928,-8.46,-14.85,-72.46,74.45
0.949,-7.07,-14.15,-72.46,74.17
0.970,-9.16,-14.15,-73.14,75.06
0.989,-7.77,-14.15,-71.78,73.58
1.008,-9.86,-14.15,-71.10,73.17
1.027,-9.86,-15.54,-71.78,74.11
1.048,-9.86,-16.24,-73.82,76.23
1.069,-9.86,-15.54,-73.14,75.42
1.088,-7.77,-14.85,-71.78,73.71
1.109,-7.77,-14.85,-72.46,74.38
1.129,-9.86,-13.45,-72.46,74.36
1.148,-9.16,-14.85,-73.82,75.86
1.168,-9.86,-14.85,-72.46,74.62
1.188,-10.56,-15.54,-73.14,75.52
1.211,-7.77,-14.85,-72.46,74.38
1.229,-9.16,-14.15,-73.82,75.72
1.250,-8.46,-14.15,-72.46,74.32
1.270,-8.46,-15.54,-73.82,75.92
1.289,-9.16,-13.45,-71.78,73.61
1.310,-8.46,-15.54,-72.46,74.59
1.342,-7.77,-14.15,-73.82,75.57
1.350,-8.46,-14.15,-73.82,75.64
1.370,-8.46,-14.85,-73.14,75.11
1.392,-7.77,-15.54,-73.14,75.18
1.413,-9.16,-15.54,-73.14,75.34
1.430,-8.46,-15.54,-71.10,73.27
1.450,-9.16,-15.54,-73.82,76.00
1.473,-9.16,-12.75,-71.78,73.48
1.490,-8.46,-15.54,-73.14,75.26
1.511,-7.77,-14.15,-71.78,73.58
1.533,-8.46,-15.54,-73.14,75.26
1.554,-8.46,-13.45,-72.46,74.19
1.573,-8.46,-14.85,-72.46,74.45
1.591,-8.46,-14.15,-73.82,75.64
1.613,-8.46,-14.85,-71.10,73.13
1.633,-9.16,-13.45,-73.82,75.60
1.653,-9.16,-13.45,-72.46,74.27
1.674,-8.46,-14.15,-72.46,74.32
1.693,-7.77,-14.85,-72.46,74.38
1.713,-7.07,-14.85,-71.10,72.98
1.732,-8.46,-14.85,-71.78,73.79
1.752,-7.77,-14.85,-72.46,74.38
1.773,-8.46,-14.85,-72.46,74.45
1.793,-8.46,-14.15,-71.78,73.65
1.813,-9.16,-13.45,-71.78,73.61
1.832,-9.86,-14.85,-72.46,74.62
1.853,-8.46,-14.15,-71.78,73.65
1.882,-7.77,-14.15,-71.78,73.58
1.893,-7.77,-15.54,-72.46,74.52
1.913,-9.16,-14.15,-72.46,74.40
1.933,-7.77,-15.54,-71.78,73.86
1.953,-9.86,-14.15,-72.46,74.49
1.974,-9.16,-14.15,-73.14,75.06
1.996,-8.46,-14.15,-73.14,74.98
2.019,-9.16,-12.75,-73.14,74.81
2.041,-8.46,-16.94,-72.46,74.90
2.054,-9.16,-14.85,-71.78,73.87
2.074,-9.16,-14.15,-71.78,73.74
2.094,-7.77,-14.85,-75.18,77.03
2.115,-8.46,-14.15,-72.46,74.32
2.136,-7.07,-14.15,-72.46,74.17
2.155,-8.46,-15.54,-72.46,74.59
2.178,-8.46,-15.54,-71.78,73.93
2.197,-9.16,-14.15,-71.78,73.74
2.216,-7.07,-16.24,-71.78,73.94
2.238,-7.07,-13.45,-73.82,75.37
2.257,-9.16,-14.85,-73.14,75.20
2.277,-9.86,-14.15,-72.46,74.49
2.296,-7.07,-15.54,-73.14,75.11
2.316,-9.16,-15.54,-72.46,74.68
2.338,-8.46,-15.54,-72.46,74.59
2.358,-9.16,-13.45,-72.46,74.27
2.379,-7.77,-15.54,-73.14,75.18
2.398,-9.16,-15.54,-70.43,72.70
2.417,-8.46,-14.15,-71.78,73.65
2.437,-8.46,-15.54,-72.46,74.59
2.459,-7.77,-14.15,-73.82,75.57
2.479,-9.16,-14.15,-73.82,75.72
2.498,-8.46,-15.54,-72.46,74.59
2.518,-8.46,-15.54,-73.14,75.26
2.538,-8.46,-14.85,-73.14,75.11
2.558,-9.16,-14.15,-72.46,74.40
2.578,-7.07,-14.85,-71.78,73.64
2.605,-8.46,-15.54,-71.78,73.93
2.620,-9.86,-16.24,-71.10,73.60
2.640,-9.86,-14.15,-73.14,75.15
2.659,-9.16,-15.54,-73.14,75.34
2.678,-9.16,-14.85,-71.78,73.87
2.701,-7.77,-14.15,-72.46,74.24
2.720,-9.16,-15.54,-71.10,73.36
