time,x,y,z,MF
0.004,-7.77,-13.45,-72.46,74.11
0.019,-6.37,-14.15,-71.78,73.44
0.035,-7.77,-14.85,-72.46,74.38
0.055,-9.16,-15.54,-72.46,74.68
0.075,-8.46,-14.15,-72.46,74.32
0.096,-7.77,-14.15,-73.14,74.90
0.116,-7.07,-16.24,-71.78,73.94
0.144,-7.77,-14.15,-71.78,73.58
0.162,-9.16,-13.45,-71.78,73.61
0.178,-8.46,-12.75,-71.10,72.73
0.196,-9.16,-12.05,-73.82,75.36
0.232,-9.16,-12.75,-71.10,72.82
0.247,-7.07,-13.45,-71.78,73.37
0.264,-8.46,-12.75,-72.46,74.06
0.281,-8.46,-14.85,-71.78,73.79
0.299,-6.37,-13.45,-71.78,73.31
0.319,-7.07,-15.54,-73.14,75.11
0.338,-7.77,-13.45,-71.78,73.45
0.367,-8.46,-13.45,-72.46,74.19
0.384,-8.46,-13.45,-72.46,74.19
0.402,-7.07,-14.15,-72.46,74.17
0.418,-9.16,-14.85,-73.82,75.86
0.438,-8.46,-12.75,-72.46,74.06
0.459,-8.46,-13.45,-72.46,74.19
0.487,-7.07,-12.75,-73.14,74.58
0.504,-8.46,-13.45,-73.14,74.85
0.523,-9.16,-14.85,-71.78,73.87
0.539,-8.46,-12.75,-73.14,74.73
0.560,-8.46,-13.45,-73.82,75.51
0.591,-8.46,-12.75,-73.14,74.73
0.607,-8.46,-12.75,-72.46,74.06
0.628,-9.16,-12.75,-71.78,73.48
0.642,-9.86,-12.05,-70.43,72.13
0.659,-8.46,-15.54,-71.78,73.93
0.681,-8.46,-13.45,-73.82,75.51
0.702,-7.07,-13.45,-71.78,73.37
0.724,-9.86,-13.45,-73.14,75.02
0.749,-7.07,-14.15,-73.14,74.83
0.760,-8.46,-13.45,-73.14,74.85
0.780,-8.46,-13.45,-71.10,72.86
0.801,-9.16,-14.85,-73.14,75.20
0.822,-7.07,-13.45,-72.46,74.04
0.841,-9.16,-13.45,-71.78,73.61
0.864,-7.77,-14.15,-73.82,75.57
0.880,-8.46,-12.75,-73.14,74.73
0.904,-8.46,-13.45,-73.14,74.85
0.924,-9.16,-12.05,-72.46,74.03
0.942,-8.46,-12.75,-72.46,74.06
0.962,-7.77,-14.85,-72.46,74.38
0.982,-7.77,-12.05,-73.14,74.54
1.002,-7.77,-13.45,-72.46,74.11
1.024,-9.16,-14.85,-72.46,74.53
1.045,-7.77,-13.45,-72.46,74.11
1.073,-7.77,-13.45,-73.14,74.77
1.084,-9.16,-14.15,-73.14,75.06
1.103,-8.46,-14.15,-70.43,72.33
1.123,-7.07,-14.15,-72.46,74.17
1.142,-7.07,-14.15,-73.14,74.83
1.168,-7.07,-15.54,-72.46,74.45
1.183,-9.86,-14.15,-73.14,75.15
1.203,-7.77,-14.85,-73.14,75.04
1.226,-7.77,-15.54,-71.10,73.20
1.244,-9.16,-14.15,-72.46,74.40
1.265,-7.07,-13.45,-73.14,74.71
1.285,-7.77,-14.15,-72.46,74.24
1.310,-8.46,-12.75,-73.14,74.73
1.330,-7.77,-15.54,-73.14,75.18
1.346,-9.16,-14.15,-74.50,76.39
1.364,-7.77,-12.75,-71.78,73.32
1.385,-8.46,-12.05,-73.14,74.61
1.405,-7.77,-15.54,-73.82,75.84
1.432,-8.46,-12.75,-71.10,72.73
1.447,-9.16,-12.75,-71.78,73.48
1.465,-8.46,-13.45,-72.46,74.19
1.485,-9.16,-14.85,-72.46,74.53
1.505,-8.46,-12.75,-71.10,72.73
1.530,-8.46,-15.54,-73.14,75.26
1.547,-9.16,-13.45,-72.46,74.27
1.567,-8.46,-13.45,-73.14,74.85
1.586,-8.46,-14.85,-72.46,74.45
1.606,-8.46,-14.85,-73.82,75.78
1.629,-7.77,-14.15,-72.46,74.24
1.651,-7.07,-14.15,-72.46,74.17
1.668,-9.16,-14.15,-73.82,75.72
1.688,-7.77,-14.85,-71.78,73.71
1.707,-8.46,-13.45,-71.78,73.52
1.730,-7.77,-14.85,-73.14,75.04
1.749,-7.77,-15.54,-71.78,73.86
1.768,-8.46,-13.45,-71.10,72.86
1.788,-9.16,-13.45,-73.14,74.93
1.808,-7.77,-14.15,-71.10,72.91
1.829,-9.86,-14.15,-73.14,75.15
1.848,-8.46,-13.45,-72.46,74.19
1.872,-9.16,-13.45,-73.82,75.60
1.888,-7.07,-13.45,-72.46,74.04
1.908,-9.16,-15.54,-73.14,75.34
1.928,-7.07,-14.15,-73.14,74.83
1.948,-6.37,-14.85,-72.46,74.24
1.969,-6.37,-14.85,-72.46,74.24
1.998,-8.46,-14.15,-71.78,73.65
2.026,-7.07,-14.85,-71.78,73.64
2.029,-7.07,-15.54,-73.14,75.11
2.049,-7.77,-13.45,-72.46,74.11
2.069,-9.16,-14.15,-70.43,72.41
2.089,-7.07,-14.15,-72.46,74.17
2.111,-8.46,-12.05,-73.14,74.61
2.132,-9.16,-14.15,-73.82,75.72
2.155,-8.46,-15.54,-71.78,73.93
2.170,-7.07,-15.54,-71.78,73.79
2.190,-9.16,-13.45,-72.46,74.27
2.211,-7.07,-14.15,-72.46,74.17
2.231,-8.46,-13.45,-71.78,73.52
2.251,-8.46,-13.45,-73.14,74.85
2.271,-9.16,-14.85,-71.10,73.21
2.294,-7.77,-13.45,-71.10,72.78
2.310,-9.16,-14.85,-71.78,73.87
2.331,-7.07,-14.15,-73.14,74.83
2.354,-9.86,-12.05,-71.10,72.79
2.373,-8.46,-13.45,-72.46,74.19
2.392,-7.77,-13.45,-72.46,74.11
2.416,-7.77,-13.45,-70.43,72.12
2.433,-9.16,-14.15,-70.43,72.41
2.452,-9.86,-13.45,-71.10,73.03
2.473,-7.77,-14.15,-73.14,74.90
2.493,-7.77,-14.85,-72.46,74.38
2.513,-8.46,-14.85,-71.78,73.79
2.532,-8.46,-14.15,-72.46,74.32
2.558,-7.07,-14.85,-73.82,75.63
2.573,-7.77,-15.54,-73.14,75.18
2.593,-7.07,-14.15,-72.46,74.17
2.614,-8.46,-14.15,-73.14,74.98
2.633,-8.46,-14.85,-71.78,73.79
2.654,-9.86,-13.45,-71.10,73.03
2.676,-8.46,-13.45,-73.14,74.85
2.703,-9.16,-14.15,-73.14,75.06
2.718,-8.46,-14.15,-71.78,73.65
2.735,-7.77,-14.85,-72.46,74.38
2.754,-9.16,-13.45,-73.14,74.93
2.774,-9.16,-13.45,-73.14,74.93
2.797,-8.46,-14.15,-72.46,74.32
2.816,-7.07,-13.45,-71.78,73.37
2.837,-8.46,-12.75,-71.78,73.40
2.855,-8.46,-15.54,-71.78,73.93
2.878,-7.77,-13.45,-72.46,74.11
2.900,-7.77,-13.45,-71.78,73.45
2.918,-8.46,-14.15,-70.43,72.33
2.935,-7.07,-14.85,-70.43,72.32
2.955,-7.77,-16.24,-71.78,74.01
2.981,-9.16,-12.75,-72.46,74.15
2.995,-7.77,-14.15,-71.78,73.58
3.019,-8.46,-13.45,-73.14,74.85
3.040,-9.16,-13.45,-73.14,74.93
3.060,-8.46,-14.85,-72.46,74.45
3.078,-7.77,-12.75,-73.82,75.32
3.096,-9.16,-12.75,-71.10,72.82
3.118,-8.46,-14.85,-72.46,74.45
3.138,-8.46,-14.15,-71.78,73.65
3.159,-9.16,-15.54,-73.14,75.34
3.178,-7.07,-14.85,-71.10,72.98
3.200,-9.16,-14.15,-72.46,74.40
3.217,-5.67,-14.15,-73.14,74.72
3.237,-7.77,-14.85,-71.10,73.05
3.258,-8.46,-13.45,-72.46,74.19
3.279,-8.46,-14.15,-71.78,73.65
3.300,-8.46,-13.45,-73.14,74.85
3.320,-9.16,-13.45,-70.43,72.28
3.338,-7.77,-12.05,-72.46,73.87
3.359,-8.46,-14.85,-72.46,74.45
3.381,-9.16,-14.85,-71.10,73.21
3.399,-7.77,-14.15,-73.14,74.90
3.420,-6.37,-14.85,-72.46,74.24
3.440,-7.07,-14.15,-73.14,74.83
3.459,-7.07,-13.45,-73.14,74.71
3.489,-8.46,-14.15,-71.78,73.65
3.505,-8.46,-13.45,-71.78,73.52
3.520,-9.16,-14.85,-71.10,73.21
3.539,-8.46,-14.15,-72.46,74.32
3.560,-8.46,-14.15,-72.46,74.32
3.580,-9.16,-14.15,-72.46,74.40
3.606,-7.77,-13.45,-73.82,75.44
3.624,-9.86,-13.45,-71.10,73.03
3.654,-7.07,-13.45,-73.14,74.71
3.661,-8.46,-13.45,-71.78,73.52
3.680,-8.46,-13.45,-72.46,74.19
3.701,-7.77,-14.85,-71.78,73.71
3.721,-7.77,-13.45,-71.10,72.78
3.742,-9.16,-14.15,-71.78,73.74
3.770,-8.46,-14.85,-71.78,73.79
3.782,-7.77,-13.45,-71.78,73.45
3.801,-8.46,-12.75,-71.78,73.40
3.823,-8.46,-12.75,-71.78,73.40
3.844,-8.46,-14.15,-72.46,74.32
3.864,-7.77,-14.85,-74.50,76.36
3.883,-7.07,-12.75,-73.14,74.58
3.904,-9.16,-14.85,-71.78,73.87
3.922,-7.77,-14.15,-71.78,73.58
3.945,-9.16,-13.45,-72.46,74.27
3.966,-8.46,-14.15,-73.14,74.98
3.987,-9.86,-12.05,-73.14,74.78
4.005,-9.16,-13.45,-71.10,72.94
4.028,-7.77,-14.15,-71.10,72.91
4.044,-7.77,-13.45,-73.14,74.77
4.066,-7.07,-15.54,-71.10,73.13
4.084,-8.46,-14.15,-73.82,75.64
4.104,-7.77,-14.15,-72.46,74.24
4.124,-8.46,-15.54,-71.78,73.93
4.144,-8.46,-16.24,-73.14,75.40
4.164,-8.46,-12.75,-71.10,72.73
4.184,-8.46,-14.15,-71.78,73.65
4.206,-9.16,-14.85,-73.14,75.20
4.226,-7.77,-14.15,-73.14,74.90
4.248,-7.77,-15.54,-73.82,75.84
4.265,-7.77,-13.45,-72.46,74.11
4.285,-7.77,-14.15,-72.46,74.24
4.308,-7.77,-14.15,-71.10,72.91
4.326,-8.46,-15.54,-71.10,73.27
4.346,-7.77,-14.85,-72.46,74.38
4.367,-7.77,-13.45,-73.82,75.44
4.386,-7.07,-13.45,-72.46,74.04
4.407,-7.07,-12.75,-73.14,74.58
4.426,-8.46,-13.45,-71.78,73.52
4.458,-8.46,-14.85,-73.14,75.11
4.467,-6.37,-14.85,-72.46,74.24
4.486,-9.16,-14.15,-72.46,74.40
4.507,-8.46,-14.15,-72.46,74.32
4.527,-8.46,-13.45,-71.78,73.52
4.549,-9.16,-13.45,-71.78,73.61
4.575,-9.16,-14.15,-73.82,75.72
4.587,-8.46,-13.45,-73.82,75.51
4.607,-7.77,-14.15,-73.14,74.90
4.628,-7.77,-14.15,-71.78,73.58
4.649,-7.77,-13.45,-71.78,73.45
4.669,-7.07,-13.45,-72.46,74.04
4.689,-7.77,-14.15,-73.14,74.90
4.713,-8.46,-13.45,-73.14,74.85
4.728,-7.77,-12.75,-72.46,73.99
4.749,-8.46,-13.45,-72.46,74.19
4.772,-7.77,-14.85,-71.78,73.71
4.790,-9.16,-13.45,-71.78,73.61
4.810,-8.46,-13.45,-71.78,73.52
4.830,-7.77,-13.45,-72.46,74.11
