time,x,y,z,MF
0.003,13.25,-11.71,-62.54,64.99
0.022,13.38,-11.35,-62.06,64.49
0.041,13.49,-11.70,-62.55,65.05
0.064,13.93,-11.71,-61.79,64.41
0.082,14.12,-11.69,-61.89,64.55
0.099,14.02,-11.61,-61.99,64.60
0.127,14.16,-11.61,-61.99,64.64
0.140,13.89,-11.74,-61.78,64.41
0.164,13.62,-11.58,-62.01,64.54
0.188,13.77,-11.66,-61.97,64.54
0.198,13.96,-11.50,-61.99,64.58
0.222,13.99,-11.60,-61.66,64.28
0.233,13.90,-11.72,-62.20,64.81
0.254,14.22,-11.70,-61.85,64.54
0.274,14.00,-11.83,-61.65,64.31
0.294,13.89,-11.67,-61.70,64.31
0.313,14.29,-11.75,-61.62,64.34
0.355,13.83,-11.70,-61.83,64.43
0.357,14.05,-11.72,-61.52,64.18
0.380,13.80,-11.72,-61.64,64.25
0.391,14.15,-11.79,-61.56,64.26
0.408,13.94,-11.67,-61.75,64.37
0.433,13.96,-11.72,-61.47,64.11
0.466,13.72,-11.62,-62.01,64.57
0.469,14.04,-11.79,-61.70,64.36
0.485,13.90,-11.79,-61.64,64.28
0.503,14.01,-11.84,-62.16,64.80
0.523,14.26,-11.69,-61.95,64.64
0.566,14.00,-11.72,-61.56,64.21
0.568,13.69,-11.60,-61.74,64.29
0.580,13.87,-11.69,-62.07,64.66
0.600,13.79,-11.71,-61.83,64.42
0.618,14.18,-11.70,-61.80,64.48
0.650,14.06,-11.80,-62.02,64.68
0.658,14.02,-11.69,-61.93,64.57
0.680,14.10,-11.68,-61.57,64.23
0.696,13.75,-11.79,-61.73,64.33
0.762,13.95,-11.76,-61.60,64.25
0.763,14.00,-11.76,-61.56,64.22
0.764,14.00,-11.72,-61.52,64.17
0.777,14.04,-11.79,-61.70,64.36
0.792,13.76,-11.65,-62.15,64.72
0.811,13.69,-11.79,-61.77,64.36
0.830,13.71,-11.72,-62.19,64.75
0.850,13.98,-11.78,-61.88,64.52
