time,x,y,z,MF
0.005,-8.46,-12.75,-72.46,74.06
0.025,-8.46,-14.15,-71.10,72.99
0.044,-9.86,-14.85,-73.14,75.28
0.064,-9.16,-13.45,-72.46,74.27
0.105,-8.46,-12.75,-72.46,74.06
0.109,-7.07,-14.15,-73.14,74.83
0.135,-8.46,-13.45,-71.10,72.86
0.151,-9.86,-14.85,-73.82,75.94
0.171,-8.46,-14.15,-71.78,73.65
0.186,-8.46,-16.24,-71.78,74.08
0.205,-8.46,-12.75,-72.46,74.06
0.238,-8.46,-13.45,-73.14,74.85
0.255,-7.07,-13.45,-72.46,74.04
0.279,-8.46,-15.54,-71.78,73.93
0.289,-7.07,-14.85,-71.10,72.98
0.307,-9.16,-14.85,-71.78,73.87
0.327,-8.46,-14.15,-72.46,74.32
0.346,-7.07,-13.45,-71.78,73.37
0.375,-9.16,-14.15,-73.82,75.72
0.393,-7.77,-13.45,-73.82,75.44
0.410,-7.77,-14.15,-72.46,74.24
0.427,-8.46,-12.75,-73.82,75.39
0.449,-9.86,-13.45,-73.14,75.02
0.468,-7.77,-14.85,-71.78,73.71
0.491,-8.46,-14.15,-72.46,74.32
0.520,-7.77,-13.45,-71.78,73.45
0.528,-8.46,-12.75,-71.78,73.40
0.548,-8.46,-14.15,-73.82,75.64
0.570,-7.07,-14.15,-71.78,73.51
0.588,-7.77,-13.45,-72.46,74.11
0.608,-8.46,-15.54,-71.78,73.93
0.633,-7.77,-14.15,-73.14,74.90
0.650,-7.77,-13.45,-71.78,73.45
0.668,-7.07,-14.85,-73.14,74.97
0.690,-8.46,-14.15,-72.46,74.32
0.711,-9.16,-12.75,-71.78,73.48
0.730,-9.16,-14.15,-73.82,75.72
0.749,-8.46,-12.75,-73.82,75.39
0.769,-7.77,-13.45,-73.82,75.44
0.793,-9.16,-14.15,-73.14,75.06
0.809,-8.46,-14.15,-72.46,74.32
0.830,-9.86,-14.15,-71.78,73.83
0.851,-7.07,-14.15,-73.82,75.50
0.870,-9.16,-13.45,-73.82,75.60
0.890,-7.77,-13.45,-72.46,74.11
0.912,-8.46,-13.45,-73.82,75.51
0.932,-7.77,-12.75,-72.46,73.99
0.952,-9.16,-14.85,-74.50,76.52
0.972,-7.77,-12.75,-72.46,73.99
0.991,-8.46,-12.75,-72.46,74.06
1.011,-9.16,-13.45,-73.82,75.60
1.031,-7.77,-14.15,-71.78,73.58
1.052,-9.16,-14.85,-72.46,74.53
1.072,-9.16,-13.45,-73.14,74.93
1.092,-7.77,-14.15,-72.46,74.24
1.113,-8.46,-13.45,-71.10,72.86
1.131,-8.46,-14.15,-71.10,72.99
1.153,-7.77,-14.15,-72.46,74.24
1.175,-8.46,-14.15,-72.46,74.32
1.193,-7.77,-13.45,-72.46,74.11
1.213,-8.46,-15.54,-71.78,73.93
1.234,-7.77,-14.15,-72.46,74.24
1.252,-7.77,-14.85,-72.46,74.38
1.273,-7.77,-14.85,-71.78,73.71
1.294,-8.46,-14.85,-74.50,76.44
1.315,-9.86,-14.15,-73.14,75.15
1.334,-9.16,-14.15,-73.14,75.06
1.354,-8.46,-14.15,-72.46,74.32
1.374,-8.46,-14.15,-72.46,74.32
1.394,-7.07,-12.75,-71.10,72.58
1.414,-9.16,-14.85,-72.46,74.53
1.439,-7.77,-13.45,-72.46,74.11
1.455,-10.56,-14.15,-71.78,73.92
1.474,-9.16,-13.45,-73.14,74.93
1.495,-7.07,-13.45,-71.78,73.37
1.515,-7.77,-14.85,-73.14,75.04
1.538,-10.56,-14.15,-71.78,73.92
1.555,-8.46,-14.15,-72.46,74.32
1.578,-7.77,-14.15,-73.14,74.90
1.595,-7.77,-14.15,-72.46,74.24
1.617,-7.07,-13.45,-73.14,74.71
1.638,-8.46,-14.15,-73.14,74.98
1.657,-7.77,-14.15,-72.46,74.24
1.677,-8.46,-14.15,-72.46,74.32
1.697,-7.77,-14.15,-71.78,73.58
1.718,-7.77,-14.15,-73.14,74.90
1.735,-8.46,-14.15,-71.78,73.65
1.758,-7.77,-12.75,-73.14,74.65
1.777,-10.56,-13.45,-71.78,73.79
1.796,-8.46,-14.15,-71.78,73.65
1.816,-9.16,-14.15,-71.78,73.74
1.837,-7.77,-13.45,-72.46,74.11
1.858,-9.86,-12.75,-73.14,74.90
1.877,-9.16,-15.54,-73.82,76.00
1.897,-7.77,-14.15,-71.78,73.58
1.918,-7.77,-13.45,-73.82,75.44
1.937,-9.16,-12.75,-73.14,74.81
1.958,-9.86,-12.75,-74.50,76.23
1.982,-7.77,-14.15,-72.46,74.24
1.998,-8.46,-14.85,-72.46,74.45
2.018,-7.77,-14.15,-73.14,74.90
2.038,-8.46,-13.45,-71.78,73.52
2.057,-7.77,-14.15,-73.14,74.90
2.078,-8.46,-14.15,-73.14,74.98
2.113,-9.16,-14.85,-71.78,73.87
2.119,-7.07,-14.15,-73.14,74.83
2.139,-7.77,-13.45,-73.14,74.77
2.160,-6.37,-14.85,-71.78,73.58
2.179,-7.77,-14.85,-71.78,73.71
2.200,-7.77,-13.45,-72.46,74.11
2.222,-7.77,-14.85,-73.14,75.04
2.241,-9.16,-14.15,-72.46,74.40
2.265,-9.16,-12.75,-71.78,73.48
2.282,-7.77,-12.05,-71.78,73.20
2.300,-8.46,-14.15,-71.78,73.65
2.320,-9.16,-13.45,-71.78,73.61
2.341,-9.16,-14.15,-72.46,74.40
2.361,-8.46,-12.75,-72.46,74.06
2.381,-7.77,-14.15,-73.82,75.57
2.400,-8.46,-14.85,-72.46,74.45
2.423,-8.46,-14.85,-72.46,74.45
2.443,-7.77,-14.85,-73.14,75.04
2.462,-7.07,-14.15,-73.82,75.50
2.483,-8.46,-13.45,-72.46,74.19
2.502,-7.77,-14.15,-73.82,75.57
2.522,-7.77,-14.85,-71.78,73.71
2.543,-7.07,-13.45,-72.46,74.04
2.562,-7.77,-14.15,-72.46,74.24
2.584,-9.86,-14.15,-73.14,75.15
2.603,-7.77,-13.45,-73.82,75.44
2.623,-8.46,-14.85,-73.14,75.11
2.643,-8.46,-15.54,-71.78,73.93
2.671,-7.07,-14.85,-71.78,73.64
2.684,-7.77,-13.45,-73.82,75.44
2.703,-7.77,-14.15,-73.14,74.90
2.724,-7.77,-14.15,-72.46,74.24
2.744,-8.46,-12.05,-72.46,73.95
2.764,-7.77,-13.45,-72.46,74.11
2.784,-7.77,-14.15,-72.46,74.24
2.810,-7.07,-14.15,-72.46,74.17
2.826,-7.07,-14.15,-72.46,74.17
2.844,-8.46,-14.15,-72.46,74.32
2.864,-8.46,-14.15,-73.14,74.98
2.890,-8.46,-15.54,-70.43,72.62
2.910,-7.07,-14.85,-73.82,75.63
2.925,-7.77,-15.54,-72.46,74.52
2.947,-8.46,-14.85,-73.82,75.78
2.965,-8.46,-12.75,-72.46,74.06
2.985,-8.46,-14.85,-71.78,73.79
3.006,-8.46,-14.85,-71.10,73.13
3.028,-9.16,-14.85,-73.14,75.20
3.048,-8.46,-12.75,-73.14,74.73
3.066,-8.46,-12.75,-73.14,74.73
3.086,-8.46,-13.45,-71.78,73.52
3.107,-8.46,-13.45,-71.78,73.52
3.130,-8.46,-13.45,-72.46,74.19
3.147,-8.46,-14.15,-72.46,74.32
3.167,-9.16,-13.45,-73.14,74.93
3.188,-7.77,-12.05,-71.78,73.20
3.206,-7.77,-14.85,-73.14,75.04
3.227,-8.46,-12.75,-71.10,72.73
3.250,-9.86,-14.85,-73.14,75.28
3.268,-9.16,-14.85,-73.82,75.86
3.290,-9.16,-14.15,-73.14,75.06
3.307,-7.07,-13.45,-73.82,75.37
3.327,-8.46,-14.15,-70.43,72.33
3.347,-9.16,-12.75,-73.82,75.47
3.370,-7.07,-13.45,-73.14,74.71
3.389,-7.07,-14.85,-73.14,74.97
3.409,-9.16,-13.45,-71.78,73.61
3.430,-7.77,-14.85,-71.10,73.05
3.449,-7.77,-13.45,-72.46,74.11
3.468,-7.77,-12.75,-71.78,73.32
3.488,-8.46,-12.75,-73.14,74.73
3.514,-8.46,-14.15,-73.14,74.98
3.529,-9.16,-13.45,-72.46,74.27
3.548,-8.46,-12.75,-72.46,74.06
3.568,-7.07,-14.15,-73.14,74.83
3.589,-8.46,-13.45,-72.46,74.19
3.613,-8.46,-12.75,-72.46,74.06
3.630,-7.77,-14.15,-71.10,72.91
3.652,-7.77,-14.15,-73.14,74.90
3.669,-7.77,-14.85,-73.14,75.04
3.689,-7.77,-14.85,-72.46,74.38
3.710,-7.77,-14.15,-72.46,74.24
3.733,-7.77,-13.45,-71.10,72.78
3.751,-7.77,-15.54,-73.14,75.18
3.773,-8.46,-14.15,-73.14,74.98
3.791,-7.77,-14.85,-73.82,75.70
3.811,-7.77,-14.15,-71.78,73.58
3.832,-8.46,-14.15,-71.10,72.99
3.852,-8.46,-14.15,-71.78,73.65
3.873,-9.86,-14.15,-72.46,74.49
3.896,-10.56,-13.45,-73.14,75.12
3.912,-8.46,-14.15,-71.78,73.65
3.931,-8.46,-13.45,-73.82,75.51
3.954,-7.77,-13.45,-71.78,73.45
3.974,-9.16,-14.85,-71.78,73.87
3.993,-8.46,-12.75,-73.14,74.73
4.012,-7.77,-12.75,-72.46,73.99
4.038,-9.16,-15.54,-73.82,76.00
4.053,-7.07,-14.85,-71.78,73.64
4.074,-7.77,-14.85,-73.14,75.04
4.093,-9.16,-13.45,-72.46,74.27
4.114,-9.16,-12.75,-71.78,73.48
4.133,-8.46,-14.15,-73.82,75.64
4.153,-7.77,-15.54,-71.78,73.86
4.173,-7.77,-13.45,-73.14,74.77
4.194,-8.46,-14.85,-72.46,74.45
4.214,-7.77,-14.85,-72.46,74.38
4.235,-8.46,-14.15,-71.78,73.65
4.255,-7.77,-14.15,-71.10,72.91
4.275,-7.07,-15.54,-73.14,75.11
4.294,-9.16,-14.15,-73.14,75.06
4.319,-7.77,-14.15,-73.14,74.90
4.335,-9.16,-15.54,-72.46,74.68
4.355,-9.86,-14.15,-71.78,73.83
4.375,-7.77,-15.54,-71.78,73.86
