time,x,y,z,MF
0.004,12.40,-12.03,-59.64,62.09
0.022,12.86,-12.19,-59.38,61.96
0.042,13.13,-12.09,-59.03,61.67
0.061,13.17,-12.39,-59.20,61.90
0.080,13.15,-12.27,-59.34,62.01
0.111,13.13,-12.17,-59.58,62.21
0.139,13.24,-12.25,-59.49,62.16
0.141,13.11,-12.39,-59.29,61.97
0.160,13.07,-12.09,-59.12,61.74
0.190,12.96,-12.15,-59.34,61.94
0.197,12.96,-12.23,-59.38,62.00
0.216,13.16,-12.27,-59.25,61.92
0.233,13.29,-12.14,-59.45,62.12
0.253,13.26,-12.08,-59.22,61.88
0.273,12.75,-12.22,-58.95,61.54
0.295,13.11,-12.23,-59.30,61.95
0.318,12.86,-12.31,-59.37,61.98
0.332,12.93,-12.21,-59.10,61.72
0.358,13.19,-12.14,-59.49,62.13
0.377,13.05,-12.14,-59.44,62.05
0.388,13.00,-12.30,-59.42,62.06
0.415,12.87,-12.16,-59.19,61.79
0.427,12.97,-12.13,-59.11,61.72
0.448,12.97,-12.24,-59.19,61.82
0.479,13.18,-12.36,-59.01,61.72
0.485,13.11,-12.19,-59.30,61.94
0.504,13.44,-12.14,-59.41,62.11
0.532,13.07,-12.20,-59.11,61.76
0.542,13.13,-12.13,-59.03,61.67
0.562,13.02,-12.24,-59.15,61.79
0.600,13.34,-12.34,-58.79,61.54
0.604,13.27,-12.39,-59.16,61.88
0.628,13.22,-12.24,-59.12,61.80
0.639,13.01,-12.19,-59.29,61.92
0.685,13.06,-12.19,-59.30,61.93
0.687,12.80,-12.18,-59.51,62.08
0.702,12.78,-12.17,-59.74,62.30
0.726,12.91,-12.42,-59.46,62.10
0.739,13.10,-12.19,-59.35,61.99
0.754,13.08,-12.17,-59.62,62.24
0.773,13.21,-12.15,-59.26,61.92
0.793,13.00,-12.34,-59.47,62.11
0.813,13.10,-12.26,-59.43,62.08
0.833,13.27,-12.47,-59.15,61.89
0.850,13.00,-12.26,-59.47,62.10
0.869,13.28,-12.36,-59.02,61.74
0.889,13.38,-12.21,-59.55,62.24
0.917,13.18,-12.17,-59.03,61.69
0.929,13.05,-12.30,-59.38,62.03
0.949,13.00,-12.15,-59.39,62.00
0.966,13.33,-12.37,-58.88,61.63
0.995,13.30,-12.30,-59.35,62.05
1.014,13.38,-12.13,-59.50,62.19
1.022,13.27,-12.12,-59.68,62.33
1.042,13.13,-11.90,-59.55,62.13
1.063,13.06,-12.16,-59.25,61.88
1.081,13.24,-12.37,-58.92,61.65
1.120,13.17,-12.35,-59.20,61.89
1.125,13.41,-12.31,-59.17,61.91
1.141,13.17,-12.32,-59.11,61.80
1.158,13.25,-12.38,-59.39,62.09
1.177,13.25,-12.26,-59.35,62.03
1.195,12.96,-12.23,-59.29,61.91
1.219,13.06,-12.31,-59.24,61.90
1.238,13.16,-12.16,-59.21,61.86
1.255,13.14,-12.18,-58.89,61.55
1.274,13.51,-12.31,-59.18,61.93
1.291,13.18,-12.28,-59.67,62.33
1.313,13.01,-12.23,-59.38,62.01
1.337,12.95,-12.15,-59.39,61.98
1.352,13.07,-12.36,-59.15,61.82
1.374,13.37,-12.32,-59.07,61.81
1.389,13.54,-12.26,-58.67,61.45
1.407,13.24,-12.18,-59.40,62.07
1.430,13.38,-12.25,-59.54,62.24
1.455,12.84,-12.18,-59.56,62.14
1.465,12.68,-11.97,-59.80,62.29
1.484,12.81,-12.19,-59.42,62.00
1.508,12.91,-12.30,-59.42,62.04
1.522,12.97,-12.24,-59.15,61.78
1.541,13.20,-12.42,-59.34,62.04
1.561,13.19,-12.14,-59.49,62.13
1.582,13.01,-12.07,-59.35,61.94
1.601,13.21,-12.12,-59.22,61.87
1.627,13.33,-12.33,-58.93,61.67
1.649,13.17,-12.16,-59.12,61.78
1.659,12.97,-12.28,-59.19,61.83
1.675,13.06,-12.19,-59.25,61.89
1.694,13.24,-12.10,-59.45,62.10
1.721,13.06,-12.23,-59.25,61.89
1.736,12.79,-12.25,-59.65,62.22
1.755,13.08,-12.33,-59.01,61.69
1.774,13.38,-12.36,-58.98,61.73
1.794,13.22,-12.43,-59.20,61.91
1.814,13.09,-12.26,-59.53,62.17
1.837,13.10,-12.26,-59.43,62.08
1.850,12.71,-12.16,-59.37,61.92
1.870,12.97,-12.24,-59.19,61.82
1.906,13.12,-12.36,-59.10,61.79
1.907,13.08,-12.25,-59.02,61.68
1.927,12.90,-12.15,-59.43,62.01
1.944,13.02,-12.27,-59.24,61.88
1.965,12.83,-12.25,-59.09,61.70
1.986,12.83,-12.24,-59.19,61.78
2.027,13.02,-12.32,-59.19,61.85
2.029,13.02,-12.35,-59.24,61.89
2.046,12.92,-12.31,-59.28,61.91
2.062,13.02,-12.20,-59.20,61.83
2.082,13.18,-12.17,-59.58,62.23
2.099,12.81,-12.27,-59.46,62.05
2.121,12.89,-12.48,-59.08,61.74
2.138,12.94,-12.22,-58.96,61.59
2.161,13.04,-12.25,-58.97,61.62
2.178,13.18,-12.25,-58.93,61.62
2.197,13.18,-12.14,-58.94,61.60
2.225,13.21,-12.12,-59.22,61.87
2.234,13.24,-12.41,-59.57,62.27
2.255,13.12,-12.12,-59.12,61.76
2.274,13.26,-12.39,-58.65,61.39
2.311,13.22,-12.40,-59.06,61.78
2.313,13.08,-12.41,-59.01,61.70
2.333,12.96,-12.27,-59.28,61.91
2.350,12.92,-12.28,-59.24,61.86
2.370,13.22,-12.12,-59.13,61.79
2.392,13.13,-12.44,-59.10,61.80
2.415,13.19,-12.56,-58.95,61.70
2.445,13.11,-12.39,-59.24,61.93
2.446,13.14,-12.34,-58.83,61.53
2.467,12.97,-12.31,-59.28,61.92
2.484,13.31,-12.42,-59.29,62.03
2.504,12.98,-12.21,-59.10,61.73
2.527,13.02,-12.24,-59.15,61.79
2.543,13.23,-12.33,-58.93,61.64
2.562,13.04,-12.41,-58.91,61.60
2.581,13.17,-12.40,-59.10,61.81
2.602,13.18,-12.29,-59.02,61.71
2.634,13.07,-12.16,-59.11,61.75
2.641,13.18,-12.29,-59.02,61.71
2.657,13.13,-12.21,-58.93,61.60
2.677,12.77,-12.40,-58.62,61.26
2.699,13.13,-12.21,-58.98,61.64
2.724,13.42,-12.28,-59.03,61.77
2.733,12.72,-12.16,-59.28,61.84
2.755,13.32,-12.17,-59.04,61.73
2.777,13.26,-12.16,-59.22,61.89
2.794,13.08,-12.33,-59.01,61.69
2.828,13.21,-12.31,-59.20,61.90
2.837,13.38,-12.25,-58.89,61.63
2.854,13.13,-12.29,-58.97,61.65
2.869,13.02,-12.16,-59.20,61.83
2.889,13.30,-12.23,-59.26,61.96
2.907,13.18,-12.25,-59.02,61.70
2.934,13.27,-12.36,-59.07,61.79
2.947,13.07,-12.20,-59.16,61.80
2.966,12.80,-12.26,-58.91,61.51
2.985,12.98,-12.33,-59.05,61.71
3.005,13.30,-12.34,-59.39,62.10
3.037,13.03,-12.29,-59.06,61.71
3.045,13.22,-12.20,-59.12,61.80
3.064,13.37,-12.32,-59.03,61.77
3.083,13.09,-12.49,-58.91,61.62
3.100,13.19,-12.26,-58.79,61.49
3.119,13.26,-12.19,-59.26,61.94
3.150,13.55,-12.42,-59.22,62.00
3.160,12.88,-12.40,-59.18,61.82
3.179,13.22,-12.36,-59.06,61.77
3.195,13.04,-12.30,-58.87,61.54
3.233,12.70,-12.34,-58.99,61.59
3.236,13.22,-12.16,-59.08,61.75
3.254,13.15,-12.34,-59.48,62.15
3.272,13.55,-12.34,-59.27,62.04
3.291,13.23,-12.36,-59.66,62.35
3.311,12.81,-12.23,-59.42,62.00
3.336,13.06,-12.42,-59.37,62.05
3.355,13.06,-12.35,-59.28,61.95
3.372,13.20,-12.38,-58.78,61.50
3.389,13.12,-12.28,-59.11,61.78
3.407,13.16,-12.43,-59.29,61.99
3.437,13.17,-12.39,-59.15,61.85
3.446,13.08,-12.28,-59.11,61.77
3.466,13.19,-12.37,-58.87,61.59
3.489,13.38,-12.40,-58.98,61.73
3.505,12.99,-12.49,-58.95,61.64
3.525,13.11,-12.31,-59.29,61.96
