time,x,y,z,MF
0.009,-8.46,-14.85,-70.43,72.47
0.028,-7.77,-14.85,-71.78,73.71
0.047,-8.46,-14.85,-70.43,72.47
0.066,-7.77,-14.85,-72.46,74.38
0.087,-7.77,-14.85,-72.46,74.38
0.109,-7.07,-14.85,-71.78,73.64
0.126,-10.56,-15.54,-71.78,74.20
0.147,-8.46,-14.15,-72.46,74.32
0.167,-9.16,-15.54,-71.78,74.02
0.187,-8.46,-14.15,-73.14,74.98
0.207,-9.86,-12.75,-73.14,74.90
0.226,-9.16,-12.75,-73.14,74.81
0.249,-8.46,-13.45,-71.78,73.52
0.270,-9.16,-14.15,-72.46,74.40
0.297,-8.46,-14.85,-73.14,75.11
0.308,-8.46,-13.45,-73.14,74.85
0.329,-9.16,-14.15,-72.46,74.40
0.348,-9.16,-14.15,-73.14,75.06
0.370,-9.16,-13.45,-73.14,74.93
0.389,-7.77,-12.75,-73.82,75.32
0.409,-7.07,-14.15,-73.82,75.50
0.429,-8.46,-14.85,-71.78,73.79
0.449,-7.77,-14.85,-71.10,73.05
0.469,-7.77,-14.85,-73.82,75.70
0.492,-7.77,-14.15,-71.78,73.58
0.509,-8.46,-14.15,-72.46,74.32
0.544,-7.07,-14.85,-73.82,75.63
0.549,-9.16,-13.45,-73.82,75.60
0.570,-9.16,-15.54,-71.78,74.02
0.590,-9.16,-14.85,-71.10,73.21
0.611,-9.86,-14.15,-72.46,74.49
0.637,-7.77,-13.45,-72.46,74.11
0.658,-8.46,-12.75,-73.82,75.39
0.680,-8.46,-14.15,-71.10,72.99
0.690,-8.46,-14.15,-73.14,74.98
0.711,-7.77,-15.54,-73.14,75.18
0.731,-8.46,-14.15,-73.14,74.98
0.751,-7.77,-13.45,-73.14,74.77
0.770,-7.77,-13.45,-72.46,74.11
0.796,-9.86,-14.85,-73.14,75.28
0.811,-7.07,-14.15,-73.14,74.83
0.833,-8.46,-14.15,-73.14,74.98
0.852,-7.07,-13.45,-73.14,74.71
0.872,-9.86,-15.54,-72.46,74.77
0.893,-8.46,-12.75,-71.78,73.40
0.913,-7.07,-13.45,-71.78,73.37
0.933,-8.46,-14.15,-71.78,73.65
0.952,-8.46,-14.15,-72.46,74.32
0.974,-9.16,-14.15,-73.14,75.06
0.994,-8.46,-14.15,-73.14,74.98
1.017,-7.77,-14.15,-71.78,73.58
1.034,-7.07,-14.15,-73.14,74.83
1.053,-7.07,-13.45,-72.46,74.04
1.074,-7.77,-13.45,-73.14,74.77
1.095,-9.16,-13.45,-71.78,73.61
1.114,-8.46,-13.45,-73.14,74.85
1.135,-7.77,-14.85,-73.82,75.70
1.154,-7.07,-14.15,-71.78,73.51
1.174,-7.77,-14.85,-73.14,75.04
1.199,-7.07,-14.15,-73.14,74.83
1.215,-8.46,-12.75,-71.78,73.40
1.235,-8.46,-14.85,-72.46,74.45
1.255,-7.77,-14.15,-71.78,73.58
1.275,-8.46,-14.15,-72.46,74.32
1.295,-9.86,-14.15,-71.10,73.17
1.315,-8.46,-12.75,-72.46,74.06
1.350,-6.37,-14.85,-71.78,73.58
1.358,-7.77,-14.85,-73.14,75.04
1.376,-8.46,-14.15,-73.14,74.98
1.396,-8.46,-13.45,-71.78,73.52
1.416,-7.77,-13.45,-72.46,74.11
1.436,-9.16,-15.54,-72.46,74.68
1.456,-7.07,-14.15,-71.78,73.51
1.487,-7.77,-14.15,-72.46,74.24
1.497,-8.46,-14.15,-73.82,75.64
1.517,-7.77,-14.85,-73.82,75.70
1.536,-7.07,-14.85,-71.10,72.98
1.558,-5.67,-15.54,-73.14,74.99
1.577,-9.16,-16.24,-73.82,76.14
1.598,-9.16,-14.15,-73.14,75.06
1.621,-8.46,-14.15,-73.14,74.98
1.637,-8.46,-14.85,-72.46,74.45
1.660,-8.46,-13.45,-73.14,74.85
1.679,-7.77,-12.75,-73.14,74.65
1.700,-7.77,-14.85,-72.46,74.38
1.718,-7.77,-14.85,-73.14,75.04
1.738,-9.16,-14.85,-72.46,74.53
1.758,-7.77,-14.85,-73.14,75.04
