time,x,y,z,MF
0.011,13.97,-11.96,-62.01,64.68
0.035,14.05,-11.87,-62.25,64.91
0.045,14.27,-11.85,-62.45,65.15
0.062,14.00,-12.10,-62.23,64.92
0.090,14.28,-12.04,-62.48,65.21
0.100,13.79,-12.06,-61.80,64.46
0.121,13.96,-11.95,-62.19,64.85
0.147,14.13,-12.08,-62.52,65.22
0.170,14.03,-12.01,-61.87,64.56
0.187,13.98,-12.08,-61.95,64.65
0.207,14.19,-12.06,-62.29,65.01
0.219,14.17,-11.93,-61.93,64.64
0.235,13.76,-11.95,-62.23,64.84
0.255,13.92,-12.08,-62.04,64.72
0.278,13.91,-11.80,-62.15,64.77
0.293,13.65,-11.91,-62.36,64.94
0.312,13.91,-11.92,-62.10,64.74
0.331,14.23,-12.09,-62.38,65.12
0.351,14.45,-11.95,-62.08,64.85
0.370,13.88,-12.09,-61.90,64.58
0.409,13.77,-11.96,-62.13,64.75
0.410,13.90,-11.99,-61.63,64.30
0.433,14.24,-12.02,-61.60,64.36
0.447,14.12,-12.12,-61.96,64.69
0.466,14.09,-11.94,-62.38,65.06
0.491,14.19,-11.78,-62.31,64.98
0.504,13.95,-12.02,-61.68,64.37
0.526,13.72,-11.96,-62.13,64.74
0.567,14.51,-11.96,-61.99,64.78
0.570,14.19,-11.98,-61.65,64.38
0.582,14.23,-12.01,-61.74,64.49
0.608,14.11,-11.96,-62.06,64.76
0.619,14.05,-12.03,-61.54,64.26
0.642,14.04,-11.86,-62.34,64.99
0.660,13.99,-12.06,-61.77,64.47
0.709,14.16,-12.00,-62.01,64.73
0.710,13.88,-12.05,-61.90,64.57
0.716,14.07,-12.04,-62.05,64.75
0.760,14.17,-12.23,-62.00,64.76
0.764,14.03,-12.01,-61.82,64.52
0.774,14.28,-12.12,-61.83,64.60
0.796,14.08,-12.16,-61.90,64.64
0.840,14.07,-12.08,-61.96,64.67
0.842,14.08,-12.17,-61.86,64.60
0.852,14.33,-12.05,-62.34,65.10
0.871,14.15,-12.10,-62.19,64.92
0.902,14.02,-12.00,-61.96,64.65
0.910,14.01,-12.03,-62.10,64.78
0.928,14.31,-12.11,-62.01,64.79
0.950,14.46,-12.12,-61.28,64.12
0.967,13.99,-12.14,-61.72,64.44
1.002,14.23,-11.93,-61.79,64.52
1.004,14.11,-12.00,-62.06,64.76
1.026,13.92,-11.85,-62.01,64.65
1.043,13.86,-11.92,-62.14,64.77
1.063,14.33,-12.09,-61.74,64.52
1.105,14.38,-12.05,-61.70,64.49
1.107,14.35,-11.95,-61.52,64.29
1.132,13.97,-12.08,-62.00,64.69
1.141,14.40,-11.91,-62.03,64.79
1.159,14.28,-12.16,-61.82,64.61
1.179,14.03,-12.13,-61.86,64.58
1.206,14.28,-12.13,-61.73,64.52
1.228,14.04,-12.02,-62.33,65.01
1.236,14.03,-12.05,-61.91,64.61
1.254,14.50,-12.22,-62.11,64.94
1.274,14.31,-12.03,-62.07,64.82
1.309,14.26,-12.03,-62.06,64.81
1.345,14.22,-12.15,-62.01,64.76
1.350,14.23,-11.98,-61.74,64.48
1.354,14.31,-12.07,-62.02,64.78
1.371,14.27,-11.96,-61.93,64.67
1.405,14.27,-12.16,-61.96,64.74
1.410,14.37,-11.85,-61.81,64.55
1.443,14.24,-12.06,-61.64,64.41
1.448,14.27,-12.16,-61.87,64.65
1.469,14.38,-12.13,-61.74,64.54
1.517,14.43,-12.01,-61.71,64.50
1.519,14.17,-12.00,-61.92,64.65
1.524,14.07,-12.08,-62.00,64.72
1.545,14.21,-12.07,-62.10,64.84
1.566,14.22,-12.04,-61.97,64.71
1.583,14.33,-12.13,-61.74,64.53
1.603,14.22,-12.12,-62.01,64.76
1.627,14.34,-12.17,-61.69,64.49
1.648,13.80,-11.98,-62.36,64.99
1.660,14.11,-11.95,-62.11,64.80
1.679,14.11,-12.07,-62.10,64.82
1.710,14.24,-12.02,-61.69,64.44
1.718,14.36,-12.07,-62.02,64.80
1.749,14.38,-12.13,-61.79,64.59
1.754,14.30,-11.99,-62.16,64.90
1.774,14.28,-12.09,-61.83,64.60
1.810,14.37,-12.08,-61.88,64.67
1.815,14.27,-12.01,-61.83,64.59
1.834,14.03,-11.94,-61.83,64.51
1.852,13.83,-12.16,-61.38,64.08
1.874,14.09,-12.14,-61.68,64.42
1.892,14.19,-12.10,-61.69,64.44
1.915,14.22,-11.96,-61.97,64.70
1.935,14.15,-11.75,-62.82,65.45
1.946,13.40,-11.87,-62.44,64.96
1.964,13.45,-11.63,-63.11,65.57
1.984,13.62,-11.81,-62.09,64.65
2.013,13.55,-11.87,-62.36,64.91
2.026,14.12,-11.77,-61.89,64.56
2.043,14.23,-11.89,-62.40,65.09
2.061,14.13,-11.67,-62.36,65.00
2.081,13.62,-11.88,-62.17,64.75
2.107,13.95,-11.95,-61.59,64.27
2.126,13.60,-11.75,-62.32,64.86
2.142,13.76,-11.84,-62.14,64.74
2.157,13.88,-11.78,-61.92,64.54
2.177,14.13,-11.89,-62.48,65.15
2.212,14.06,-11.95,-62.15,64.83
2.216,13.87,-11.77,-62.01,64.63
2.242,13.92,-11.81,-61.97,64.60
2.254,14.02,-11.88,-62.01,64.68
2.275,14.22,-11.85,-61.89,64.60
2.317,14.47,-11.93,-61.76,64.55
2.320,13.96,-12.03,-62.18,64.86
2.341,13.92,-11.96,-62.05,64.71
2.350,13.83,-11.74,-61.92,64.52
2.369,13.64,-11.97,-61.94,64.54
2.393,14.13,-11.90,-61.79,64.49
2.414,13.94,-12.01,-61.81,64.50
2.450,14.04,-12.09,-61.77,64.49
2.452,13.96,-11.88,-62.15,64.79
2.486,14.11,-11.96,-62.01,64.71
2.488,14.33,-12.05,-61.79,64.56
2.506,14.36,-12.03,-62.02,64.79
2.525,13.92,-12.00,-62.09,64.75
2.558,14.02,-11.92,-62.01,64.68
2.561,14.23,-12.01,-61.74,64.49
2.581,14.44,-12.02,-62.21,64.99
2.612,14.17,-12.01,-61.88,64.60
2.619,13.90,-11.95,-62.28,64.92
2.643,13.86,-12.00,-62.14,64.78
2.663,14.34,-12.02,-61.65,64.43
2.679,14.13,-12.01,-61.78,64.50
2.697,14.49,-11.75,-62.14,64.88
2.733,14.29,-12.14,-62.24,65.01
2.738,14.45,-12.03,-62.12,64.90
2.754,14.03,-11.85,-61.88,64.55
2.775,13.99,-11.86,-62.34,64.98
2.798,14.49,-12.10,-61.56,64.39
2.815,14.32,-11.78,-61.81,64.53
2.843,14.23,-11.82,-61.80,64.51
2.851,14.29,-11.90,-62.26,64.98
2.870,14.07,-11.81,-61.98,64.64
2.888,13.91,-11.64,-62.16,64.75
