time,x,y,z,MF
0.004,-8.46,-14.85,-72.46,74.45
0.015,-9.16,-14.85,-72.46,74.53
0.040,-7.77,-14.15,-71.78,73.58
0.056,-9.16,-14.85,-71.78,73.87
0.076,-9.16,-12.75,-73.14,74.81
0.096,-8.46,-14.15,-73.14,74.98
0.116,-10.56,-13.45,-72.46,74.45
0.137,-7.77,-14.15,-72.46,74.24
0.157,-7.07,-14.85,-73.14,74.97
0.177,-8.46,-14.85,-71.78,73.79
0.201,-7.07,-14.85,-71.78,73.64
0.217,-7.77,-14.85,-72.46,74.38
0.236,-7.77,-14.85,-72.46,74.38
0.260,-7.07,-14.15,-73.82,75.50
0.286,-8.46,-14.15,-73.14,74.98
0.298,-9.16,-14.15,-73.14,75.06
0.339,-10.56,-14.15,-72.46,74.58
0.358,-8.46,-12.75,-72.46,74.06
0.380,-8.46,-13.45,-73.14,74.85
0.400,-9.86,-14.15,-73.82,75.81
0.419,-9.16,-14.85,-72.46,74.53
0.439,-8.46,-15.54,-71.78,73.93
0.458,-7.07,-13.45,-71.78,73.37
0.480,-7.77,-14.85,-72.46,74.38
0.500,-7.07,-15.54,-73.14,75.11
0.519,-7.77,-14.85,-71.10,73.05
0.540,-7.07,-15.54,-71.78,73.79
0.561,-8.46,-14.15,-72.46,74.32
0.579,-8.46,-14.85,-73.14,75.11
0.600,-7.77,-14.85,-73.14,75.04
0.621,-8.46,-14.15,-71.10,72.99
0.640,-7.77,-13.45,-73.14,74.77
0.660,-8.46,-14.15,-72.46,74.32
0.680,-9.16,-14.85,-73.82,75.86
0.701,-7.07,-12.75,-72.46,73.92
0.733,-8.46,-14.85,-73.14,75.11
0.742,-8.46,-14.85,-72.46,74.45
0.761,-7.77,-14.85,-71.78,73.71
0.781,-9.16,-14.85,-72.46,74.53
0.801,-8.46,-14.85,-71.10,73.13
0.821,-9.16,-14.15,-72.46,74.40
0.842,-9.16,-14.85,-71.78,73.87
0.862,-8.46,-14.85,-74.50,76.44
0.888,-9.16,-14.85,-73.14,75.20
0.903,-7.07,-14.85,-71.78,73.64
0.922,-9.16,-15.54,-72.46,74.68
0.943,-9.16,-15.54,-71.10,73.36
0.962,-7.77,-15.54,-72.46,74.52
0.983,-9.16,-16.94,-73.14,75.64
1.002,-7.77,-14.85,-73.82,75.70
1.026,-7.77,-12.75,-71.78,73.32
1.044,-9.86,-14.15,-71.78,73.83
1.063,-8.46,-14.15,-72.46,74.32
1.084,-7.77,-14.85,-73.82,75.70
1.104,-8.46,-13.45,-72.46,74.19
1.123,-7.77,-14.15,-73.14,74.90
1.145,-8.46,-14.85,-70.43,72.47
1.166,-9.86,-13.45,-73.14,75.02
1.183,-8.46,-14.15,-72.46,74.32
1.205,-7.77,-14.85,-73.82,75.70
1.224,-7.77,-14.85,-72.46,74.38
1.246,-7.77,-13.45,-72.46,74.11
1.264,-9.16,-14.15,-72.46,74.40
1.285,-8.46,-14.85,-72.46,74.45
1.308,-7.77,-14.15,-72.46,74.24
1.326,-8.46,-15.54,-71.78,73.93
1.346,-9.86,-14.85,-73.14,75.28
1.366,-7.77,-16.24,-71.78,74.01
1.385,-7.77,-14.85,-72.46,74.38
1.406,-9.16,-14.15,-71.10,73.07
1.426,-7.07,-12.75,-73.82,75.25
1.446,-6.37,-15.54,-72.46,74.39
1.468,-9.16,-14.15,-71.78,73.74
1.487,-7.07,-14.15,-71.10,72.84
1.506,-8.46,-13.45,-71.78,73.52
1.526,-9.86,-15.54,-73.82,76.08
1.547,-8.46,-16.24,-71.10,73.43
1.568,-10.56,-14.85,-71.10,73.40
1.587,-7.77,-14.15,-72.46,74.24
1.607,-7.07,-15.54,-72.46,74.45
1.628,-7.77,-13.45,-71.78,73.45
1.648,-6.37,-14.15,-73.14,74.77
1.667,-8.46,-14.85,-71.78,73.79
1.688,-7.77,-14.85,-72.46,74.38
1.710,-9.16,-16.94,-73.14,75.64
1.729,-8.46,-14.85,-72.46,74.45
1.747,-8.46,-15.54,-71.10,73.27
1.772,-9.16,-13.45,-73.82,75.60
1.790,-8.46,-13.45,-73.14,74.85
1.809,-8.46,-14.85,-74.50,76.44
1.831,-7.77,-14.85,-72.46,74.38
1.849,-7.07,-14.85,-71.10,72.98
1.868,-8.46,-15.54,-73.14,75.26
1.889,-7.77,-14.85,-72.46,74.38
1.910,-8.46,-13.45,-72.46,74.19
1.929,-8.46,-14.15,-73.82,75.64
1.951,-9.16,-14.85,-73.14,75.20
1.969,-7.77,-14.15,-72.46,74.24
1.989,-7.07,-14.85,-71.78,73.64
2.011,-8.46,-14.15,-71.78,73.65
2.031,-7.77,-14.15,-72.46,74.24
2.050,-9.16,-16.24,-72.46,74.82
2.071,-8.46,-14.85,-71.10,73.13
2.090,-7.77,-15.54,-71.78,73.86
2.112,-8.46,-15.54,-73.14,75.26
