time,x,y,z,MF
0.010,-9.86,-14.85,-73.82,75.94
0.036,-9.16,-13.45,-71.78,73.61
0.050,-8.46,-15.54,-71.10,73.27
0.070,-7.77,-14.15,-71.78,73.58
0.090,-8.46,-13.45,-71.78,73.52
0.110,-7.77,-14.15,-71.78,73.58
0.131,-9.16,-13.45,-71.78,73.61
0.152,-8.46,-14.85,-71.78,73.79
0.171,-8.46,-14.15,-72.46,74.32
0.191,-8.46,-15.54,-72.46,74.59
0.211,-6.37,-15.54,-71.78,73.72
0.231,-7.77,-14.85,-73.14,75.04
0.251,-7.77,-14.85,-74.50,76.36
0.277,-9.16,-14.15,-71.78,73.74
0.292,-8.46,-14.15,-72.46,74.32
0.311,-7.77,-15.54,-71.78,73.86
0.332,-9.86,-14.15,-71.78,73.83
0.358,-6.37,-13.45,-71.78,73.31
0.373,-7.77,-14.85,-71.78,73.71
0.392,-7.07,-13.45,-72.46,74.04
0.421,-9.86,-16.24,-72.46,74.91
0.433,-8.46,-14.85,-73.14,75.11
0.453,-9.16,-14.85,-73.14,75.20
0.473,-8.46,-14.85,-73.14,75.11
0.493,-8.46,-14.85,-72.46,74.45
0.513,-8.46,-14.85,-72.46,74.45
0.533,-7.77,-14.85,-71.78,73.71
0.558,-6.37,-14.85,-73.82,75.57
0.574,-8.46,-14.85,-71.10,73.13
0.596,-8.46,-13.45,-73.14,74.85
0.615,-8.46,-14.85,-73.14,75.11
0.635,-8.46,-14.85,-72.46,74.45
0.656,-9.16,-14.85,-73.82,75.86
0.675,-8.46,-14.85,-72.46,74.45
0.702,-8.46,-14.85,-73.14,75.11
0.721,-8.46,-14.15,-72.46,74.32
0.736,-7.77,-15.54,-72.46,74.52
0.755,-8.46,-14.15,-72.46,74.32
0.775,-7.77,-12.75,-72.46,73.99
0.795,-7.77,-14.15,-73.14,74.90
0.814,-7.07,-14.85,-71.78,73.64
0.835,-9.86,-14.15,-73.82,75.81
0.855,-8.46,-14.15,-71.78,73.65
0.875,-8.46,-14.15,-73.14,74.98
0.896,-6.37,-14.15,-73.14,74.77
0.917,-7.77,-14.85,-72.46,74.38
0.936,-8.46,-14.85,-72.46,74.45
0.956,-8.46,-15.54,-73.14,75.26
0.977,-6.37,-13.45,-71.78,73.31
0.997,-9.16,-13.45,-73.14,74.93
1.017,-9.16,-12.75,-71.78,73.48
1.037,-9.16,-14.85,-72.46,74.53
1.057,-7.77,-16.24,-71.78,74.01
1.092,-8.46,-15.54,-71.78,73.93
1.098,-8.46,-14.85,-71.78,73.79
1.118,-7.07,-13.45,-72.46,74.04
1.139,-8.46,-14.15,-71.78,73.65
1.158,-7.77,-14.15,-71.78,73.58
1.179,-6.37,-14.15,-72.46,74.11
1.199,-8.46,-14.15,-71.10,72.99
