time,x,y,z,MF
0.008,14.00,-11.88,-60.90,63.61
0.018,13.81,-11.65,-60.86,63.49
0.046,13.71,-11.57,-61.46,64.03
0.062,13.80,-11.64,-61.65,64.24
0.074,13.07,-11.61,-61.70,64.13
0.092,13.94,-11.71,-61.09,63.75
0.114,13.47,-11.69,-61.53,64.06
0.131,13.81,-11.69,-61.51,64.11
0.151,13.77,-11.77,-60.76,63.40
0.171,13.91,-11.81,-60.76,63.45
0.222,14.02,-11.78,-60.68,63.38
0.223,15.08,-10.98,-60.61,63.42
0.238,14.45,-11.19,-61.21,63.88
0.250,14.66,-11.00,-60.96,63.65
0.276,14.41,-11.12,-61.12,63.77
0.292,14.59,-11.37,-60.74,63.50
0.324,14.78,-11.33,-60.76,63.55
0.344,14.66,-11.35,-60.38,63.16
0.346,14.51,-11.20,-61.07,63.76
0.363,14.74,-11.10,-61.28,64.00
0.392,14.87,-11.43,-60.89,63.72
0.402,14.42,-11.28,-61.02,63.70
0.421,14.53,-11.25,-60.79,63.51
0.441,14.53,-11.02,-60.81,63.48
0.493,15.19,-11.22,-60.42,63.30
0.495,14.79,-11.07,-60.54,63.30
0.497,14.78,-11.17,-60.72,63.49
0.519,14.68,-11.29,-60.75,63.51
0.543,14.69,-11.22,-60.71,63.46
0.554,14.68,-11.09,-61.37,64.07
0.574,14.94,-11.14,-61.20,63.97
0.594,15.02,-11.36,-60.86,63.71
0.647,15.03,-11.14,-60.65,63.46
0.649,15.01,-11.28,-60.87,63.70
0.652,14.97,-11.21,-60.78,63.59
0.680,14.95,-11.30,-60.49,63.33
0.690,14.87,-11.24,-60.91,63.69
0.708,14.39,-11.22,-60.74,63.42
0.728,14.38,-11.29,-60.92,63.60
0.760,14.72,-11.24,-60.94,63.69
0.766,14.78,-11.17,-61.37,64.11
0.787,15.10,-11.19,-60.97,63.80
0.806,14.62,-11.16,-60.94,63.66
0.826,14.67,-11.13,-60.90,63.62
0.847,14.86,-11.12,-60.91,63.68
0.865,14.92,-11.20,-60.87,63.66
0.884,15.05,-11.07,-61.02,63.82
0.901,14.82,-11.28,-60.90,63.68
0.930,14.96,-11.16,-60.87,63.67
0.939,14.57,-11.20,-60.94,63.65
0.960,14.60,-11.19,-60.52,63.26
0.982,14.80,-11.22,-60.53,63.32
0.999,14.75,-11.19,-60.53,63.30
1.034,14.67,-11.24,-60.89,63.64
1.039,14.68,-11.29,-60.80,63.56
1.063,14.80,-11.26,-60.53,63.32
1.074,14.44,-11.14,-60.70,63.38
1.094,14.81,-11.24,-60.95,63.72
1.119,14.82,-11.21,-60.81,63.59
1.144,14.64,-11.26,-60.66,63.41
1.151,14.87,-11.20,-60.86,63.65
1.170,15.00,-11.11,-61.06,63.85
1.192,15.05,-11.15,-61.02,63.83
1.210,14.68,-11.17,-60.81,63.54
1.232,14.62,-11.20,-60.99,63.71
1.254,14.42,-11.12,-60.98,63.64
1.268,14.44,-11.26,-60.74,63.44
1.286,14.80,-11.27,-61.09,63.86
1.306,14.76,-11.35,-61.03,63.81
1.332,14.90,-11.30,-61.14,63.93
1.343,14.25,-11.15,-61.29,63.91
1.363,14.48,-11.36,-60.87,63.60
1.387,14.76,-11.31,-60.99,63.76
1.403,14.64,-11.22,-60.62,63.36
1.421,14.87,-11.40,-60.85,63.67
1.455,14.86,-11.35,-60.95,63.75
1.463,14.53,-11.17,-60.84,63.54
1.479,14.94,-11.26,-60.54,63.36
1.500,14.91,-11.23,-60.35,63.17
1.519,14.73,-11.40,-60.79,63.58
1.557,14.56,-11.35,-60.46,63.22
1.560,14.71,-11.16,-61.00,63.73
1.586,14.63,-11.29,-60.80,63.54
1.594,14.78,-11.33,-60.80,63.59
1.613,14.43,-11.36,-60.96,63.67
1.638,14.86,-11.27,-61.00,63.78
1.660,14.51,-11.23,-61.07,63.77
1.674,14.61,-11.08,-60.39,63.12
1.690,15.23,-11.29,-60.55,63.45
1.710,14.96,-11.31,-61.00,63.82
1.740,14.78,-11.17,-60.77,63.53
1.747,14.56,-11.27,-61.12,63.83
1.768,14.63,-11.21,-60.85,63.58
1.786,14.85,-11.30,-60.53,63.34
1.806,14.85,-11.07,-61.06,63.81
1.837,14.67,-11.39,-60.98,63.74
1.844,14.72,-11.20,-60.90,63.65
1.863,14.45,-11.38,-60.64,63.37
1.882,14.51,-11.19,-61.17,63.85
1.906,14.84,-11.37,-60.66,63.48
1.924,14.64,-11.18,-60.62,63.36
1.958,14.83,-11.25,-60.77,63.55
1.994,14.82,-11.20,-60.91,63.67
1.999,14.48,-11.09,-60.89,63.57
2.004,14.83,-11.17,-60.77,63.54
2.018,14.78,-11.29,-60.80,63.58
2.049,14.78,-11.21,-60.72,63.49
2.056,14.58,-11.25,-60.80,63.52
