t,x,y,z,mf
66455,-1.0742,24.1211,-25.5371,35.14
66466,-0.9277,24.0234,-25.4883,35.04
66477,-0.7812,23.9258,-25.8301,35.22
66488,-0.5371,24.0234,-25.0000,34.68
66499,-0.6836,23.2422,-25.3418,34.39
66510,-0.6836,23.2422,-25.3418,34.39
66520,-0.9277,23.5840,-25.9277,35.06
66531,-0.0488,23.6328,-25.9277,35.08
66542,-0.7812,23.4863,-25.9277,34.99
66553,-0.8789,23.6328,-25.3418,34.66
66564,-1.1230,24.1699,-25.9766,35.50
66575,-0.9766,23.9258,-25.2441,34.79
66586,-0.8301,23.7793,-25.4883,34.87
66597,-0.8301,23.7793,-25.4883,34.87
66607,0.0977,23.8770,-24.5117,34.22
66618,-0.5859,23.6328,-25.2930,34.62
66629,-0.7324,24.1211,-25.1465,34.85
66640,-0.0977,23.9746,-24.9512,34.60
66651,-0.7324,24.5117,-24.7559,34.85
66662,-0.3906,24.9023,-24.7559,35.12
66673,-0.7812,24.5117,-25.0000,35.02
66684,-0.7812,24.5117,-25.0000,35.02
66694,-0.9766,24.4629,-25.1465,35.10
66705,-0.7324,23.8281,-25.1465,34.65
66716,-0.8789,23.9258,-25.4395,34.93
66727,-1.2207,24.3652,-24.9512,34.90
66738,-0.2930,23.9258,-25.5859,35.03
66749,-0.5371,24.1699,-25.1953,34.92
66760,-0.9277,24.0723,-25.9766,35.43
66771,-0.9277,24.0723,-25.9766,35.43
66781,-0.8301,23.7305,-25.0000,34.48
66792,-1.0254,24.1699,-25.5371,35.18
66803,-0.8789,23.8770,-25.6348,35.04
66814,-0.6348,23.9258,-24.8047,34.47
66825,-1.1719,23.8770,-25.3418,34.84
66836,-1.1719,24.0234,-25.0977,34.76
66847,-1.0742,24.3652,-25.9277,35.60
66858,-1.0742,24.3652,-25.9277,35.60
66868,-0.8301,24.0234,-25.0977,34.75
66879,-0.6836,24.2676,-25.4395,35.16
66890,-1.0254,24.0723,-25.7324,35.25
66901,-0.9766,24.2676,-25.2441,35.03
66912,-1.1719,24.3652,-26.3184,35.88
66923,-0.7812,24.2188,-25.7813,35.38
66934,-1.0254,24.5605,-25.2930,35.27
66945,-1.0254,24.5605,-25.2930,35.27
66955,-1.1230,24.1699,-25.1953,34.93
66966,-0.9277,23.8281,-24.9023,34.48
66977,-1.0254,24.4141,-24.9512,34.92
66988,-1.0742,24.2676,-25.7813,35.42
66999,-0.8789,23.8770,-25.2441,34.76
67010,-0.9277,24.1699,-25.2441,34.96
67021,-1.3184,24.6582,-25.6348,35.59
67032,-1.3184,24.6582,-25.6348,35.59
67042,-0.8301,24.3164,-25.0977,34.96
67053,-0.3418,24.5117,-25.6836,35.50
67064,-1.3184,24.3652,-25.3906,35.21
67075,-0.8789,24.4629,-25.4883,35.34
67086,-0.8301,24.2676,-25.0000,34.85
67097,-1.0254,24.0723,-25.4395,35.04
67108,-0.8789,24.3652,-25.5371,35.31
67119,-0.8789,24.3652,-25.5371,35.31
67129,-0.6348,24.4629,-25.3418,35.23
67140,-0.8789,24.0234,-25.8789,35.32
67151,-0.8301,23.8770,-25.1953,34.72
67162,-1.1230,24.3164,-25.8301,35.49
67173,-0.4883,24.1699,-25.8789,35.41
67184,-1.2207,24.2676,-25.6348,35.32
67195,-0.6348,24.3652,-25.2930,35.13
67206,-0.6348,24.3652,-25.2930,35.13
67216,-1.0742,24.4141,-25.7813,35.52
67227,-1.0742,24.0723,-25.0977,34.79
67238,-0.1953,23.8770,-25.3906,34.85
67249,-1.1230,24.9512,-25.8789,35.97
67260,-0.9277,24.4629,-25.1953,35.13
67271,-0.6348,24.3652,-25.5859,35.34
67282,-0.9766,24.5117,-25.6348,35.48
67293,-0.9766,24.5117,-25.6348,35.48
67303,-0.7812,24.0234,-25.7324,35.21
67314,-1.3184,24.3652,-25.6836,35.43
67325,-1.1230,23.8770,-25.1465,34.69
67336,-1.5625,23.4375,-25.6348,34.77
67347,-1.3672,23.9258,-26.0254,35.38
67358,-1.1230,24.0234,-25.8789,35.33
67369,-1.8555,23.5840,-25.9766,35.13
67380,-1.8555,23.5840,-25.9766,35.13
67390,-1.1230,23.6816,-26.0254,35.21
67401,-1.4648,24.0723,-26.2207,35.63
67412,-1.3672,23.6816,-25.9766,35.18
67423,-0.9766,24.0234,-26.5137,35.79
67434,-0.7324,24.2188,-26.2207,35.70
67445,-1.0742,24.7070,-25.9766,35.87
67456,-1.0742,24.2188,-26.3184,35.78
67467,-0.6348,24.2188,-26.3184,35.77
67477,-0.4883,24.4141,-25.8789,35.58
67488,-0.8789,24.3164,-25.5371,35.27
67499,-0.6348,24.5117,-25.7324,35.54
67510,-0.9277,24.0234,-26.1719,35.54
67521,-0.9766,24.2188,-26.1719,35.67
67532,-0.8301,24.5117,-25.6348,35.48
67543,-0.8301,24.3164,-26.2695,35.81
67554,-0.7812,24.3164,-26.2695,35.80
67564,-0.8789,24.4629,-25.8789,35.62
67575,-0.8789,24.1211,-26.1719,35.60
67586,-1.0254,24.7559,-25.4395,35.51
67597,-1.2207,24.1699,-25.9277,35.47
67608,-1.0254,24.3164,-25.9766,35.60
67619,-1.0254,23.8281,-26.2695,35.48
67630,-1.0254,24.2188,-25.9277,35.49
67641,-0.9277,24.2188,-25.9277,35.49
67651,-1.2207,24.2676,-25.4883,35.21
67662,-0.6348,24.0723,-26.1719,35.56
67673,-1.0254,24.0234,-25.8789,35.33
67684,-0.6348,23.4863,-25.9766,35.03
67695,-1.0742,23.9746,-25.6836,35.15
