t,x,y,z,mf
1.8200000000,31.1726608276,15.4237976074,6.9299907684,35.46
1.8300000000,28.5914840698,13.8904380798,7.0096459389,32.55
1.8400000000,30.5770034790,14.4316244125,6.6910257339,34.47
1.8500000000,29.3856925964,15.3336009979,7.0096459389,33.88
1.8590000000,30.7755565643,14.7022171021,6.7706809044,34.77
1.8690000000,30.3784523010,14.8826131821,7.0893011093,34.56
1.8790000000,30.7755565643,14.5218219757,6.4520606995,34.64
1.8890000000,29.1871395111,14.5218219757,7.0893011093,33.36
1.8990000000,29.3856925964,14.4316244125,7.0096459389,33.48
1.9080000000,29.1871395111,13.8002405167,6.6113710403,32.96
1.9180000000,30.9741077423,14.0708341599,6.2130956650,34.58
1.9280000000,30.7755565643,14.3414268494,6.9299907684,34.65
1.9380000000,31.1726608276,14.5218219757,7.5672311783,35.21
1.9480000000,30.9741077423,14.6120195389,6.8503355980,34.93
1.9580000000,30.9741077423,14.6120195389,6.6910257339,34.90
1.9680000000,29.7827968597,14.4316244125,6.5317158699,33.73
1.9770000000,30.9741077423,14.2512292862,7.0096459389,34.81
1.9870000000,30.9741077423,14.4316244125,6.5317158699,34.79
1.9970000000,30.3784523010,15.0630083084,6.6113710403,34.55
2.0070000000,29.1871395111,13.9806365967,6.9299907684,33.10
2.0170000000,30.9741077423,14.4316244125,7.4875764847,34.98
2.0270000000,31.9668674469,13.8002405167,7.0893011093,35.53
2.0360000000,30.3784523010,14.8826131821,7.0893011093,34.56
2.0460000000,31.1726608276,13.6198453903,7.0893011093,34.75
2.0560000000,28.9885883331,14.4316244125,7.1689558029,33.17
2.0660000000,30.5770034790,14.6120195389,7.4875764847,34.71
2.0760000000,30.3784523010,14.5218219757,7.0893011093,34.41
2.0860000000,29.5842437744,14.8826131821,6.7706809044,33.80
2.0960000000,31.3712120056,14.9728107452,7.0096459389,35.46
2.1050000000,30.1799011230,13.8904380798,7.0096459389,33.95
2.1150000000,31.5697650909,14.3414268494,7.0893011093,35.39
2.1250000000,30.3784523010,14.7022171021,7.2486109734,34.52
2.1350000000,29.3856925964,14.9728107452,7.1689558029,33.75
2.1450000000,31.1726608276,14.1610317230,6.9299907684,34.93
2.1550000000,29.1871395111,14.1610317230,6.6113710403,33.11
2.1640000000,30.5770034790,14.2512292862,7.3282661438,34.52
2.1740000000,29.5842437744,14.3414268494,6.9299907684,33.60
2.1840000000,29.9813480377,14.3414268494,6.2927503586,33.83
2.1940000000,29.7827968597,14.7924146652,7.1689558029,34.02
2.2040000000,29.3856925964,15.3336009979,6.8503355980,33.85
2.2130000000,28.9885883331,14.2512292862,6.6910257339,32.99
2.2240000000,29.5842437744,14.5218219757,7.2486109734,33.74
2.2330000000,30.7755565643,14.1610317230,7.0893011093,34.61
2.2430000000,30.7755565643,14.5218219757,6.6113710403,34.67
2.2530000000,30.3784523010,14.7022171021,6.2927503586,34.33
2.2630000000,30.9741077423,14.6120195389,7.1689558029,34.99
2.2730000000,30.3784523010,14.5218219757,7.5672311783,34.51
2.2820000000,30.7755565643,14.7022171021,7.0893011093,34.84
2.2920000000,30.1799011230,14.4316244125,7.3282661438,34.25
2.3020000000,29.1871395111,14.5218219757,6.7706809044,33.30
2.3120000000,31.3712120056,15.1532058716,7.0096459389,35.54
2.3220000000,29.3856925964,14.2512292862,6.8503355980,33.37
2.3320000000,28.9885883331,14.4316244125,6.6910257339,33.07
2.3420000000,30.7755565643,14.7022171021,7.2486109734,34.87
2.3510000000,30.5770034790,14.7924146652,7.1689558029,34.72
2.3610000000,29.3856925964,14.6120195389,7.0096459389,33.56
2.3710000000,32.3639717102,15.2434034348,7.2486109734,36.50
2.3810000000,29.3856925964,14.7924146652,6.6910257339,33.57
2.3910000000,30.3784523010,14.3414268494,6.7706809044,34.27
2.4010000000,30.3784523010,14.3414268494,7.2486109734,34.37
2.4110000000,30.3784523010,14.1610317230,6.9299907684,34.23
2.4200000000,31.5697650909,14.1610317230,7.2486109734,35.35
2.4300000000,29.1871395111,14.8826131821,7.2486109734,33.55
2.4400000000,30.1799011230,14.7924146652,6.8503355980,34.30
2.4500000000,30.9741077423,14.2512292862,7.4875764847,34.91
2.4600000000,30.1799011230,14.0708341599,7.0096459389,34.03
2.4700000000,31.9668674469,14.7022171021,6.7706809044,35.83
2.4790000000,30.7755565643,13.9806365967,6.6113710403,34.44
2.4890000000,29.9813480377,14.5218219757,6.9299907684,34.03
2.4990000000,30.1799011230,13.7100429535,6.6910257339,33.82
2.5090000000,30.7755565643,14.1610317230,7.0893011093,34.61
2.5190000000,29.9813480377,14.7022171021,7.2486109734,34.17
2.5290000000,29.5842437744,14.8826131821,6.9299907684,33.83
2.5390000000,31.1726608276,14.7022171021,6.4520606995,35.06
2.5480000000,29.3856925964,14.4316244125,7.0096459389,33.48
2.5580000000,29.7827968597,14.4316244125,7.0096459389,33.83
2.5680000000,29.9813480377,14.5218219757,7.2486109734,34.09
2.5780000000,30.1799011230,14.2512292862,6.5317158699,34.01
2.5880000000,30.7755565643,14.1610317230,6.9299907684,34.58
2.5980000000,30.5770034790,14.4316244125,6.6910257339,34.47
2.6070000000,29.5842437744,14.1610317230,7.4079213142,33.62
2.6170000000,29.5842437744,15.0630083084,7.4079213142,34.01
