t,x,y,z,mf
0.1960000000,27.5987243652,13.8002405167,7.2486109734,31.70
0.2060000000,27.4001731873,14.2512292862,6.8503355980,31.64
0.2160000000,29.5842437744,13.0786600113,6.6113710403,33.01
0.2250000000,27.7972755432,12.6276712418,6.5317158699,31.22
0.2350000000,28.7900371552,13.6198453903,7.0893011093,32.63
0.2450000000,29.7827968597,13.7100429535,6.6910257339,33.46
0.2550000000,29.3856925964,14.0708341599,6.0537853241,33.14
0.2650000000,29.1871395111,13.2590551376,6.7706809044,32.76
0.2750000000,28.7900371552,13.6198453903,7.0893011093,32.63
0.2840000000,28.9885883331,13.3492527008,6.6910257339,32.61
0.2940000000,28.9885883331,13.1688575745,6.3724055290,32.47
0.3040000000,28.3929328918,13.0786600113,6.2927503586,31.89
0.3140000000,30.3784523010,13.9806365967,6.2927503586,34.03
0.3240000000,29.7827968597,13.5296478271,6.5317158699,33.36
0.3330000000,28.7900371552,13.8002405167,6.2927503586,32.54
0.3440000000,29.3856925964,13.8904380798,6.3724055290,33.12
0.3530000000,28.5914840698,14.6120195389,6.6910257339,32.80
0.3630000000,28.7900371552,13.6198453903,7.0893011093,32.63
0.3730000000,29.7827968597,13.1688575745,6.6910257339,33.24
0.3830000000,29.1871395111,13.2590551376,6.7706809044,32.76
0.3930000000,30.1799011230,13.5296478271,7.0096459389,33.81
0.4020000000,28.3929328918,13.2590551376,6.9299907684,32.09
0.4130000000,30.1799011230,13.7100429535,6.3724055290,33.75
0.4220000000,27.9958286285,13.9806365967,6.2927503586,31.92
0.4320000000,28.5914840698,13.8904380798,6.6910257339,32.48
0.4420000000,29.7827968597,13.5296478271,7.1689558029,33.49
0.4520000000,27.7972755432,13.5296478271,7.3282661438,31.77
0.4620000000,28.7900371552,14.3414268494,6.7706809044,32.87
0.4710000000,29.3856925964,13.7100429535,6.6910257339,33.11
0.4820000000,28.1943798065,13.7100429535,7.0096459389,32.13
0.4910000000,28.9885883331,14.0708341599,6.0537853241,32.79
0.5010000000,28.1943798065,14.0708341599,6.5317158699,32.18
0.5110000000,28.9885883331,13.8904380798,6.2130956650,32.74
0.5210000000,28.3929328918,14.1610317230,7.0893011093,32.51
0.5310000000,29.7827968597,13.7100429535,5.8944749832,33.31
0.5400000000,27.9958286285,13.4394502640,6.9299907684,31.82
0.5500000000,28.7900371552,13.4394502640,6.9299907684,32.52
0.5600000000,28.3929328918,13.4394502640,6.1334404945,32.01
0.5700000000,29.5842437744,14.1610317230,6.6113710403,33.46
0.5800000000,27.7972755432,13.8904380798,6.8503355980,31.82
0.5900000000,29.5842437744,13.6198453903,6.9299907684,33.30
0.5990000000,27.9958286285,14.1610317230,5.9741301537,31.94
0.6090000000,28.7900371552,13.8002405167,6.7706809044,32.64
0.6190000000,28.1943798065,14.2512292862,6.5317158699,32.26
0.6290000000,29.3856925964,13.5296478271,6.8503355980,33.07
0.6390000000,27.7972755432,13.7100429535,6.6910257339,31.71
0.6490000000,28.7900371552,13.8002405167,6.4520606995,32.57
0.6590000000,28.5914840698,13.8904380798,7.1689558029,32.59
0.6680000000,30.9741077423,13.5296478271,7.0096459389,34.52
0.6780000000,27.5987243652,13.6198453903,6.9299907684,31.55
0.6880000000,27.5987243652,13.8002405167,6.4520606995,31.52
0.6980000000,28.5914840698,13.5296478271,7.0096459389,32.40
0.7080000000,27.5987243652,13.2590551376,7.0893011093,31.43
0.7180000000,27.0030689240,13.8904380798,6.5317158699,31.06
0.7280000000,28.9885883331,14.2512292862,6.5317158699,32.96
0.7370000000,28.7900371552,13.8002405167,6.7706809044,32.64
0.7470000000,27.7972755432,13.7100429535,6.0537853241,31.58
0.7570000000,29.1871395111,14.5218219757,6.4520606995,33.23
0.7670000000,29.1871395111,13.8002405167,5.8148202896,32.80
0.7770000000,27.4001731873,13.5296478271,6.8503355980,31.32
0.7870000000,28.3929328918,13.8002405167,6.7706809044,32.29
0.7960000000,28.1943798065,14.0708341599,6.6910257339,32.21
0.8060000000,28.3929328918,13.6198453903,6.7706809044,32.21
0.8160000000,27.9958286285,13.2590551376,7.4079213142,31.85
0.8260000000,28.9885883331,13.8904380798,6.8503355980,32.87
0.8360000000,29.7827968597,12.9884614944,6.2130956650,33.08
0.8460000000,28.3929328918,13.6198453903,6.9299907684,32.24
0.8560000000,29.5842437744,14.1610317230,7.0893011093,33.56
0.8650000000,28.9885883331,13.7100429535,6.5317158699,32.73
0.8750000000,28.7900371552,13.2590551376,6.7706809044,32.41
0.8850000000,29.1871395111,12.7178688049,7.2486109734,32.65
0.8950000000,28.1943798065,13.1688575745,6.2130956650,31.73
0.9050000000,27.9958286285,13.2590551376,6.6113710403,31.67
0.9150000000,27.4001731873,14.0708341599,6.6910257339,31.52
0.9250000000,29.5842437744,13.6198453903,6.6113710403,33.23
0.9340000000,30.7755565643,13.6198453903,6.6113710403,34.30
0.9440000000,29.7827968597,12.9884614944,5.8944749832,33.02
0.9540000000,27.7972755432,14.4316244125,6.2130956650,31.93
0.9640000000,28.1943798065,12.9884614944,6.5317158699,31.72
0.9740000000,28.9885883331,14.0708341599,6.5317158699,32.88
0.9840000000,28.3929328918,13.4394502640,6.2927503586,32.04
0.9930000000,27.0030689240,13.5296478271,6.6910257339,30.94
1.0030000000,28.3929328918,13.6198453903,6.6113710403,32.18
1.0130000000,28.7900371552,14.3414268494,5.9741301537,32.71
1.0230000000,28.3929328918,13.9806365967,7.0893011093,32.43
1.0330000000,29.7827968597,13.7100429535,6.5317158699,33.43
1.0430000000,28.3929328918,13.8002405167,5.8148202896,32.10
1.0530000000,28.9885883331,13.1688575745,6.3724055290,32.47
1.0620000000,28.5914840698,13.7100429535,6.8503355980,32.44
1.0720000000,29.5842437744,13.4394502640,6.9299907684,33.22
1.0820000000,28.1943798065,13.8904380798,7.1689558029,32.24
1.0920000000,28.1943798065,14.0708341599,6.3724055290,32.15
1.1020000000,27.9958286285,13.8002405167,6.6113710403,31.90
1.1120000000,28.3929328918,13.6198453903,6.2927503586,32.11
1.1210000000,27.9958286285,13.8002405167,6.6113710403,31.90
1.1310000000,29.1871395111,13.8002405167,6.9299907684,33.02
1.1410000000,28.7900371552,13.8002405167,5.9741301537,32.48
1.1510000000,30.5770034790,13.5296478271,6.6910257339,34.10
1.1610000000,27.7972755432,13.5296478271,6.6910257339,31.63
1.1710000000,29.5842437744,14.1610317230,6.7706809044,33.49
1.1810000000,29.5842437744,13.2590551376,6.4520606995,33.06
1.1900000000,27.7972755432,14.2512292862,6.8503355980,31.98
1.2000000000,27.5987243652,14.1610317230,6.2927503586,31.65
1.2100000000,28.9885883331,14.2512292862,6.3724055290,32.92
1.2200000000,30.1799011230,13.5296478271,7.0096459389,33.81
1.2300000000,28.7900371552,13.4394502640,6.7706809044,32.49
1.2400000000,28.7900371552,13.2590551376,6.2927503586,32.32
1.2490000000,29.3856925964,14.0708341599,6.3724055290,33.20
1.2590000000,27.9958286285,14.5218219757,6.2927503586,32.16
1.2690000000,28.7900371552,13.8002405167,6.9299907684,32.67
1.2790000000,28.7900371552,13.6198453903,6.9299907684,32.59
1.2890000000,28.3929328918,13.8002405167,6.4520606995,32.22
1.2990000000,28.1943798065,14.2512292862,6.6910257339,32.29
1.3090000000,29.5842437744,13.6198453903,5.9741301537,33.11
1.3180000000,27.9958286285,13.9806365967,6.6113710403,31.98
1.3280000000,27.9958286285,13.6198453903,6.2927503586,31.76
1.3380000000,28.9885883331,13.5296478271,7.1689558029,32.78
1.3480000000,28.1943798065,14.2512292862,6.6910257339,32.29
1.3580000000,28.7900371552,13.8002405167,6.2927503586,32.54
1.3680000000,28.3929328918,13.6198453903,6.2927503586,32.11
1.3780000000,30.5770034790,13.7100429535,5.8944749832,34.02
1.3870000000,28.1943798065,14.0708341599,6.6910257339,32.21
1.3970000000,27.9958286285,13.4394502640,6.9299907684,31.82
1.4070000000,27.5987243652,13.8002405167,7.2486109734,31.70
1.4170000000,28.9885883331,14.0708341599,6.0537853241,32.79
1.4270000000,29.1871395111,13.4394502640,6.2927503586,32.74
1.4370000000,29.9813480377,13.8002405167,6.7706809044,33.69
1.4470000000,26.8045158386,13.2590551376,6.6113710403,30.63
1.4560000000,28.7900371552,13.8002405167,6.9299907684,32.67
1.4660000000,28.7900371552,14.5218219757,6.2927503586,32.85
1.4760000000,28.1943798065,13.1688575745,6.3724055290,31.76
1.4860000000,28.5914840698,13.7100429535,6.5317158699,32.37
1.4960000000,29.5842437744,13.9806365967,6.2927503586,33.32
1.5060000000,28.5914840698,14.0708341599,6.8503355980,32.59
1.5150000000,29.3856925964,14.4316244125,6.8503355980,33.45
1.5250000000,29.1871395111,13.8002405167,6.4520606995,32.92
1.5350000000,29.1871395111,13.8002405167,6.1334404945,32.86
1.5450000000,28.9885883331,13.7100429535,6.3724055290,32.69
1.5550000000,28.1943798065,14.0708341599,5.8944749832,32.06
1.5650000000,29.3856925964,14.0708341599,6.8503355980,33.29
1.5750000000,29.1871395111,13.6198453903,6.2927503586,32.82
1.5840000000,28.5914840698,13.8904380798,5.7351651192,32.30
1.5940000000,28.7900371552,13.4394502640,6.9299907684,32.52
1.6040000000,27.9958286285,13.2590551376,6.2927503586,31.61
1.6140000000,27.7972755432,13.8904380798,5.8944749832,31.63
1.6240000000,28.3929328918,13.2590551376,6.2927503586,31.96
1.6340000000,27.7972755432,13.3492527008,6.2130956650,31.46
1.6430000000,28.3929328918,13.4394502640,6.6113710403,32.10
1.6540000000,29.9813480377,12.8982639313,6.7706809044,33.33
1.6630000000,29.5842437744,13.4394502640,6.2927503586,33.10
1.6730000000,28.1943798065,13.3492527008,7.1689558029,32.01
1.6830000000,29.1871395111,13.8002405167,6.1334404945,32.86
1.6930000000,28.3929328918,13.8002405167,6.2927503586,32.19
1.7030000000,29.7827968597,14.2512292862,6.3724055290,33.63
1.7120000000,27.7972755432,14.4316244125,6.5317158699,31.99
1.7220000000,29.7827968597,13.8904380798,6.8503355980,33.57
1.7320000000,28.9885883331,13.8904380798,6.5317158699,32.80
1.7420000000,28.3929328918,13.6198453903,6.1334404945,32.08
1.7520000000,29.5842437744,13.9806365967,5.9741301537,33.26
1.7610000000,29.3856925964,13.7100429535,7.0096459389,33.18
1.7720000000,28.9885883331,14.2512292862,7.1689558029,33.09
1.7810000000,28.9885883331,13.7100429535,5.7351651192,32.58
1.7910000000,28.9885883331,13.8904380798,5.8944749832,32.68
1.8010000000,29.3856925964,13.5296478271,5.5758547783,32.83
1.8110000000,29.5842437744,13.8002405167,6.6113710403,33.31
1.8210000000,30.1799011230,13.7100429535,6.6910257339,33.82
1.8310000000,28.3929328918,13.6198453903,6.9299907684,32.24
1.8400000000,29.9813480377,13.0786600113,7.4079213142,33.54
1.8500000000,27.7972755432,13.8904380798,6.6910257339,31.79
1.8600000000,27.5987243652,13.2590551376,6.6113710403,31.32
1.8700000000,27.5987243652,13.6198453903,6.4520606995,31.45
1.8800000000,27.9958286285,13.9806365967,6.1334404945,31.89
1.8890000000,29.1871395111,13.4394502640,6.6113710403,32.81
1.9000000000,27.0030689240,13.8904380798,6.8503355980,31.13
1.9090000000,29.7827968597,13.1688575745,6.0537853241,33.12
1.9190000000,28.9885883331,13.3492527008,7.4875764847,32.78
1.9290000000,29.5842437744,13.0786600113,6.7706809044,33.05
1.9390000000,30.1799011230,12.9884614944,6.8503355980,33.56
1.9490000000,29.5842437744,13.6198453903,6.4520606995,33.20
1.9580000000,28.9885883331,13.5296478271,6.3724055290,32.62
1.9690000000,29.3856925964,13.8904380798,6.6910257339,33.18
1.9780000000,26.6059646606,14.4316244125,6.8503355980,31.03
1.9880000000,28.9885883331,13.7100429535,6.2130956650,32.66
1.9980000000,28.3929328918,14.5218219757,6.4520606995,32.54
2.0080000000,27.5987243652,13.6198453903,6.6113710403,31.48
2.0180000000,28.9885883331,13.3492527008,6.6910257339,32.61
2.0270000000,29.9813480377,13.9806365967,6.2927503586,33.67
2.0370000000,29.1871395111,13.8002405167,6.4520606995,32.92
2.0470000000,28.1943798065,14.0708341599,6.3724055290,32.15
2.0570000000,28.9885883331,12.9884614944,6.3724055290,32.40
2.0670000000,27.7972755432,13.1688575745,7.0096459389,31.55
2.0770000000,27.2016201019,13.6198453903,6.7706809044,31.17
2.0870000000,28.1943798065,13.7100429535,6.6910257339,32.06
2.0960000000,30.1799011230,12.9884614944,6.5317158699,33.50
2.1060000000,27.9958286285,13.2590551376,6.7706809044,31.71
2.1160000000,28.3929328918,13.6198453903,6.4520606995,32.14
2.1260000000,30.5770034790,13.3492527008,6.8503355980,34.06
2.1360000000,28.1943798065,13.7100429535,6.3724055290,31.99
2.1450000000,28.5914840698,14.0708341599,7.0096459389,32.63
2.1560000000,28.7900371552,13.8002405167,6.6113710403,32.60
2.1650000000,29.7827968597,13.5296478271,6.2130956650,33.30
2.1750000000,28.5914840698,13.8904380798,6.6910257339,32.48
2.1850000000,28.7900371552,13.2590551376,6.6113710403,32.38
2.1950000000,29.5842437744,13.2590551376,7.0893011093,33.19
2.2050000000,29.5842437744,13.6198453903,6.6113710403,33.23
2.2140000000,27.9958286285,13.2590551376,6.7706809044,31.71
2.2240000000,29.5842437744,12.8982639313,6.7706809044,32.98
2.2340000000,28.3929328918,13.6198453903,6.2927503586,32.11
2.2440000000,29.7827968597,13.5296478271,6.8503355980,33.42
2.2540000000,27.5987243652,13.4394502640,5.9741301537,31.27
2.2640000000,29.5842437744,13.4394502640,7.0893011093,33.26
2.2740000000,28.7900371552,13.4394502640,5.8148202896,32.30
2.2830000000,28.9885883331,13.3492527008,5.8944749832,32.45
2.2930000000,29.5842437744,13.0786600113,6.7706809044,33.05
2.3030000000,28.5914840698,13.3492527008,7.0096459389,32.32
2.3130000000,26.8045158386,13.2590551376,6.1334404945,30.53
2.3230000000,29.7827968597,13.8904380798,6.2130956650,33.44
2.3330000000,28.9885883331,13.3492527008,6.2130956650,32.51
2.3420000000,27.0030689240,14.0708341599,6.6910257339,31.18
2.3520000000,29.9813480377,13.6198453903,6.1334404945,33.50
2.3620000000,31.1726608276,13.8002405167,6.2927503586,34.67
2.3720000000,29.7827968597,13.8904380798,6.6910257339,33.54
2.3820000000,28.7900371552,13.2590551376,6.6113710403,32.38
2.3920000000,29.9813480377,14.3414268494,6.6113710403,33.89
2.4020000000,28.9885883331,13.3492527008,7.0096459389,32.68
2.4110000000,28.3929328918,13.4394502640,6.4520606995,32.07
2.4210000000,29.5842437744,13.0786600113,6.1334404945,32.92
2.4310000000,28.9885883331,12.9884614944,6.3724055290,32.40
2.4410000000,29.7827968597,13.1688575745,7.0096459389,33.31
2.4510000000,28.5914840698,14.6120195389,6.3724055290,32.74
2.4610000000,27.7972755432,13.7100429535,6.2130956650,31.61
2.4710000000,28.7900371552,13.6198453903,6.4520606995,32.50
2.4800000000,28.3929328918,13.9806365967,6.6113710403,32.33
2.4900000000,29.5842437744,13.6198453903,6.7706809044,33.27
2.5000000000,28.3929328918,13.8002405167,5.9741301537,32.13
2.5100000000,28.7900371552,13.2590551376,6.7706809044,32.41
2.5200000000,29.1871395111,13.0786600113,6.9299907684,32.73
2.5300000000,28.3929328918,13.8002405167,6.1334404945,32.16
