time,x,y,z
3227,95,-57,-827
3237,105,-59,-821
3247,91,-53,-831
3257,89,-67,-815
3267,99,-59,-815
3277,94,-62,-818
3286,97,-63,-823
3296,107,-59,-821
3306,94,-62,-820
3316,103,-53,-821
3326,107,-61,-819
3336,95,-63,-819
3346,100,-60,-820
3355,101,-59,-825
3365,94,-66,-828
3375,96,-62,-822
3385,98,-60,-830
3395,104,-68,-824
3405,96,-60,-826
3415,101,-61,-827
3424,99,-61,-827
3434,94,-54,-832
3444,92,-58,-826
3454,101,-53,-813
3464,98,-58,-828
3474,97,-61,-825
3484,103,-53,-821
3493,95,-63,-823
3503,106,-60,-828
3513,94,-62,-826
3523,102,-66,-828
3533,101,-65,-815
3543,101,-67,-827
3553,103,-63,-821
3562,103,-65,-821
3572,101,-53,-827
3582,91,-59,-825
3592,96,-60,-824
3602,101,-59,-827
3612,99,-57,-821
3622,110,-56,-820
3631,99,-65,-819
3641,101,-57,-817
3651,101,-55,-823
3661,101,-57,-827
3671,102,-58,-820
3681,101,-61,-829
3690,100,-62,-828
3700,96,-56,-826
3710,98,-62,-816
3720,97,-55,-821
3730,104,-60,-822
3740,101,-57,-821
3750,108,-54,-820
3759,92,-62,-822
3769,92,-60,-820
3779,97,-59,-823
3789,97,-63,-815
3799,105,-59,-815
3809,99,-59,-827
3819,104,-62,-824
3828,103,-59,-825
3838,101,-61,-815
3848,93,-61,-819
3858,101,-65,-821
3868,105,-57,-823
3878,99,-63,-823
3888,104,-60,-826
3897,101,-61,-821
3907,103,-59,-823
3917,98,-58,-830
3927,101,-61,-827
3937,90,-58,-822
3947,101,-59,-819
3956,95,-61,-825
3966,100,-60,-822
3976,96,-62,-832
3986,98,-62,-818
3996,98,-58,-824
4006,85,-57,-821
4016,101,-63,-823
4025,92,-70,-822
4035,104,-64,-822
4045,105,-59,-823
4055,104,-56,-824
4065,100,-60,-824
4075,101,-67,-821
4085,93,-55,-825
4094,100,-64,-826
4104,97,-61,-825
4114,98,-64,-826
4124,93,-55,-823
4134,93,-71,-819
4144,100,-62,-822
4154,108,-58,-826
4163,98,-60,-828
4173,97,-49,-821
4183,96,-54,-832
4193,98,-58,-824
4203,93,-63,-821
4213,96,-64,-822
4222,100,-68,-828
4232,99,-59,-831
4242,102,-70,-820
4252,99,-61,-825
4262,95,-65,-823
4272,99,-65,-823
4282,104,-56,-824
4292,98,-58,-822
4301,104,-68,-822
4311,102,-56,-832
4321,97,-57,-835
4331,103,-63,-821
4341,97,-59,-823
4351,100,-54,-824
4361,100,-60,-822
4371,100,-58,-828
4380,98,-66,-820
4390,97,-63,-825
4400,102,-54,-830
4410,102,-54,-824
4420,99,-65,-827
4430,99,-57,-821
4440,94,-62,-820
4449,96,-60,-822
4459,105,-61,-821
4469,104,-56,-824
4479,103,-59,-817
4489,97,-55,-825
4499,99,-63,-823
4509,101,-57,-829
4518,95,-57,-821
4528,102,-58,-824
4538,100,-54,-824
4548,98,-60,-826
4558,98,-62,-828
4568,92,-70,-818
4578,97,-59,-821
4587,94,-56,-826
4597,96,-56,-822
4607,109,-61,-819
4617,94,-64,-826
4627,100,-56,-820
4637,93,-63,-827
4647,99,-61,-823
4656,102,-60,-826
4666,96,-62,-832
4676,97,-57,-823
4686,102,-54,-820
4696,96,-56,-822
4706,97,-57,-831
4716,108,-68,-820
4725,103,-59,-819
4735,104,-66,-816
4745,97,-59,-829
4755,105,-55,-819
4765,99,-63,-819
4775,99,-61,-823
4785,90,-64,-830
4794,101,-65,-821
4804,100,-56,-816
4814,102,-64,-822
4824,90,-58,-826
4834,99,-59,-819
4844,101,-61,-823
4854,104,-66,-822
4863,99,-59,-823
4873,100,-62,-824
4883,103,-59,-825
4893,104,-64,-820
4903,102,-60,-818
4913,96,-58,-818
4923,101,-61,-829
4932,90,-50,-826
4942,97,-59,-821
4952,99,-57,-829
4962,100,-48,-826
4972,100,-64,-822
4982,95,-59,-823
4992,100,-62,-828
5001,100,-54,-822
5011,101,-55,-819
5021,97,-55,-819
5031,99,-63,-823
5041,106,-60,-822
5051,103,-71,-829
5060,97,-55,-829
5070,103,-51,-825
5080,98,-58,-824
5090,101,-67,-825
5100,104,-64,-816
5110,101,-55,-821
5119,96,-68,-824
5129,91,-53,-825
5139,106,-64,-820
5149,100,-64,-824
5159,106,-58,-824
5169,99,-59,-823
5179,98,-60,-822
5189,101,-59,-819
5198,105,-59,-825
5208,91,-57,-821
5218,100,-66,-816
5228,108,-68,-824
5238,92,-62,-822
5248,96,-58,-822
5258,99,-61,-833
5267,101,-47,-823
5277,99,-59,-823
5287,97,-61,-823
5297,98,-60,-824
5307,101,-65,-823
5317,91,-63,-823
5327,103,-57,-827
5336,95,-59,-823
5346,103,-61,-823
5356,104,-62,-824
5366,106,-58,-826
5376,96,-60,-820
5386,105,-61,-819
5396,98,-50,-824
5406,92,-68,-828
5415,100,-66,-822
