time,x,y,z
43786,125,-313,-827
43796,125,-317,-829
43806,117,-321,-823
43815,137,-315,-827
43825,124,-320,-826
43835,118,-306,-832
43845,129,-323,-829
43855,126,-320,-822
43865,122,-310,-824
43875,128,-318,-828
43884,133,-313,-825
43894,124,-310,-828
43904,126,-312,-828
43914,132,-314,-832
43924,125,-315,-819
43934,127,-313,-823
43944,122,-316,-824
43953,124,-304,-830
43963,132,-312,-826
43973,123,-317,-825
43983,123,-315,-827
43993,126,-312,-822
44003,123,-319,-827
44013,121,-307,-821
44022,124,-310,-824
44032,124,-316,-828
44042,121,-315,-831
44052,121,-319,-831
44062,123,-309,-831
44072,125,-319,-831
44082,121,-317,-829
44091,127,-309,-827
44101,133,-317,-825
44111,125,-309,-829
44121,134,-312,-838
44131,133,-315,-827
44141,127,-313,-825
44151,129,-315,-831
44160,124,-314,-828
44170,120,-312,-826
44180,130,-316,-818
44190,125,-315,-827
44200,129,-319,-831
44210,116,-316,-822
44219,131,-307,-831
44229,130,-312,-830
44239,134,-314,-826
44249,122,-318,-828
44259,124,-308,-830
44269,121,-313,-825
44279,133,-321,-823
44288,118,-314,-826
44298,126,-316,-830
44308,127,-311,-823
44318,122,-320,-822
44328,133,-317,-817
44338,126,-316,-832
44348,129,-313,-823
44357,127,-313,-827
44367,128,-312,-824
44377,124,-316,-818
44387,125,-307,-823
44397,126,-312,-832
44407,129,-317,-819
44416,125,-321,-815
44426,126,-314,-826
44436,124,-314,-824
44446,124,-310,-824
44456,126,-318,-828
44466,133,-313,-825
44475,128,-318,-828
44485,123,-319,-829
44495,130,-310,-824
44505,127,-313,-823
44515,124,-312,-826
44525,121,-315,-829
44534,127,-313,-829
44544,120,-316,-826
44554,128,-310,-822
44564,120,-320,-820
44574,123,-311,-827
44584,123,-309,-819
44594,124,-312,-822
44603,122,-310,-822
44613,128,-314,-822
44623,125,-315,-823
44633,121,-315,-825
44643,128,-310,-828
44653,124,-314,-822
44663,115,-317,-829
44672,122,-322,-816
44682,127,-311,-825
44692,126,-308,-822
44702,130,-312,-822
44712,125,-315,-825
44722,126,-308,-826
44732,126,-310,-826
44742,125,-311,-831
44751,126,-312,-826
44761,128,-314,-830
44771,124,-316,-822
44781,120,-310,-826
44791,133,-313,-825
44801,117,-317,-825
44811,126,-314,-818
44820,130,-314,-824
44830,121,-311,-833
44840,122,-312,-826
44850,125,-315,-823
44860,122,-314,-826
44870,112,-316,-824
44880,125,-323,-827
44889,125,-317,-813
44899,125,-309,-823
44909,131,-315,-827
44919,130,-312,-826
44929,125,-313,-819
44939,124,-318,-822
44949,129,-311,-821
44958,129,-305,-827
44968,124,-316,-826
44978,123,-315,-821
44988,122,-312,-828
44998,124,-312,-826
45008,123,-317,-827
45018,122,-310,-832
45027,124,-314,-822
45037,121,-313,-827
45047,135,-315,-833
45057,122,-314,-818
45067,128,-312,-830
45077,128,-310,-826
45086,120,-312,-824
45096,122,-306,-822
45106,126,-310,-824
45116,121,-321,-823
45126,124,-314,-828
45136,124,-316,-824
45145,135,-317,-827
45155,129,-317,-829
45165,123,-319,-823
45175,121,-323,-827
45185,130,-308,-832
45195,130,-312,-822
45205,131,-319,-825
45214,118,-310,-826
45224,126,-304,-826
45234,123,-313,-817
45244,117,-315,-829
45254,119,-311,-831
45264,126,-316,-824
45273,125,-305,-821
45283,126,-312,-826
45293,121,-323,-835
45303,126,-318,-828
45313,122,-310,-834
45323,130,-314,-824
45333,134,-316,-822
45343,127,-315,-833
45352,119,-313,-825
45362,120,-316,-826
45372,128,-312,-830
45382,132,-310,-834
45392,119,-309,-825
45402,125,-315,-829
45412,127,-315,-823
45421,134,-316,-830
45431,123,-311,-831
45441,134,-318,-830
45451,122,-324,-826
45461,132,-310,-836
45471,123,-319,-821
45481,119,-315,-825
45490,128,-312,-822
45500,125,-319,-823
45510,130,-314,-820
45520,125,-313,-827
45530,119,-321,-827
45540,117,-313,-825
45550,122,-320,-826
45559,124,-316,-826
45569,129,-317,-823
45579,126,-314,-822
45589,128,-314,-822
45599,123,-311,-827
45609,121,-313,-827
45619,129,-317,-825
45628,122,-328,-822
45638,125,-319,-827
45648,127,-315,-829
45658,131,-315,-829
45668,123,-311,-817
45678,126,-310,-828
45688,126,-324,-824
45697,132,-310,-826
45707,127,-309,-825
45717,120,-316,-824
45727,126,-316,-820
45737,126,-308,-816
45747,123,-317,-833
45757,121,-317,-825
45766,124,-318,-824
45776,129,-317,-831
45786,125,-319,-827
45796,134,-310,-830
45806,127,-309,-821
45816,123,-317,-825
45825,126,-314,-834
45835,133,-313,-825
45845,119,-317,-821
45855,127,-315,-825
45865,129,-311,-831
45875,129,-311,-827
45884,124,-312,-826
45894,119,-321,-823
45904,126,-320,-822
45914,125,-315,-827
45924,127,-319,-825
