t,x,y,z,mf
1281143,-3.1738,25.0977,-25.2441,35.74
1281154,-3.4668,25.1953,-26.0742,36.42
1281165,-2.9297,24.8535,-26.1719,36.21
1281176,-2.8809,24.8047,-25.5859,35.75
1281187,-3.2227,24.8535,-26.1230,36.20
1281198,-3.2227,24.8535,-26.1230,36.20
1281208,-3.5156,24.1699,-25.9766,35.66
1281219,-3.3691,24.8047,-26.8555,36.71
1281230,-3.1738,24.6582,-26.0742,36.03
1281241,-3.5156,24.7559,-25.9766,36.06
1281252,-3.8086,25.3906,-26.4160,36.84
1281263,-3.5156,25.0000,-26.5137,36.61
1281274,-3.4180,24.9512,-26.1230,36.29
1281285,-3.4180,24.9512,-26.1230,36.29
1281295,-2.8809,25.0000,-26.0742,36.24
1281306,-3.3691,25.3418,-26.7090,36.97
1281317,-3.4668,25.2930,-26.0742,36.49
1281328,-3.6621,24.6094,-26.3184,36.22
1281339,-3.7598,25.1465,-26.4648,36.70
1281350,-3.4180,25.0977,-25.9277,36.25
1281361,-3.5156,25.2441,-26.1230,36.50
1281372,-3.5156,25.2441,-26.1230,36.50
1281382,-3.0273,24.8047,-26.2695,36.26
1281393,-2.9785,24.9512,-26.0742,36.21
1281404,-3.1738,25.2930,-26.6113,36.85
1281415,-3.1250,24.9023,-26.0742,36.19
1281426,-3.1738,24.3652,-26.7578,36.33
1281437,-3.1250,25.1953,-26.1719,36.46
1281448,-3.2715,24.3164,-25.8789,35.66
1281459,-3.2715,24.3164,-25.8789,35.66
1281469,-3.1738,24.1699,-26.2695,35.84
1281480,-2.9785,24.3164,-26.6113,36.17
1281491,-3.0762,24.7559,-25.8301,35.91
1281502,-3.0273,25.0977,-26.2695,36.46
1281513,-3.3691,24.9023,-25.8301,36.04
1281524,-2.8809,24.6582,-26.0742,36.00
1281535,-3.3203,24.9023,-26.0254,36.17
1281546,-3.3203,24.9023,-26.0254,36.17
1281556,-3.1738,25.0488,-26.4160,36.54
1281567,-3.0273,24.8535,-26.6602,36.57
1281578,-3.1250,25.2930,-26.4648,36.74
1281589,-3.3203,25.2441,-26.3672,36.65
1281600,-2.9297,25.6348,-25.6348,36.37
1281611,-2.9785,25.4395,-26.4160,36.79
1281622,-3.1738,25.0488,-26.9043,36.90
1281633,-3.1738,25.0488,-26.9043,36.90
1281643,-3.3691,24.8047,-26.4648,36.43
1281654,-3.2227,25.2441,-26.4648,36.72
1281665,-3.5645,25.0000,-25.9766,36.23
1281676,-2.8320,25.1953,-25.8301,36.19
1281687,-3.5156,24.9512,-25.9766,36.19
1281698,-3.1738,24.9512,-25.6348,35.91
1281709,-3.2715,24.9023,-25.6836,35.92
1281720,-3.2715,24.9023,-25.6836,35.92
1281730,-3.4180,24.7559,-25.5859,35.77
1281741,-3.7598,25.2930,-25.4883,36.10
1281752,-3.2715,24.9512,-25.7324,35.99
1281763,-3.4180,24.9512,-26.4648,36.53
1281774,-3.4668,24.7559,-26.1719,36.19
1281785,-3.6133,24.4629,-25.6836,35.65
1281796,-3.4180,24.8535,-25.8789,36.04
1281807,-3.4180,24.8535,-25.8789,36.04
1281817,-3.7109,25.0488,-26.1230,36.38
1281828,-3.5156,25.4883,-25.7813,36.42
1281839,-3.5645,25.0977,-25.4883,35.95
